,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP40M,BLK/PF,RK,Year
41,"Romelo Banks, C",UNF,3,28.0,8,12,2.67,3.81,0.67,42,2001
42,"D.J. Wilson, F",MICH,3,28.0,8,8,2.67,3.81,1.00,43,2001
43,"Zach Braxton, F",WEB,3,25.0,8,9,2.67,4.27,0.89,44,2001
44,"Jonathan Galloway, F",UCI,3,26.0,8,9,2.67,4.10,0.89,45,2001
45,"Jordon Varnado, F",TROY,3,27.3,8,4,2.67,3.90,2.00,46,2001
46,"Doral Moore, C",WAKE,3,12.0,8,9,2.67,8.89,0.89,47,2001
47,"Chase Jeter, F",DUKE,3,22.0,8,9,2.67,4.85,0.89,48,2001
48,"Ryan Taylor, F",MRSH,2,29.0,5,5,2.50,3.45,1.00,49,2001
49,"Matt Willms, C",UTEP,2,16.0,5,4,2.50,6.25,1.25,50,2001
50,"Willie Clayton, F",GAST,2,23.0,5,7,2.50,4.35,0.71,51,2001
51,"Don MuepoKelly, F",USA,2,22.5,5,4,2.50,4.44,1.25,52,2001
52,"Josh Hawkinson, F",WSU,2,38.5,5,5,2.50,2.60,1.00,53,2001
53,"Luke Kornet, F",VAN,2,26.0,5,4,2.50,3.85,1.25,54,2001
54,"Kameron Rooks, C",CAL,2,28.0,5,5,2.50,3.57,1.00,55,2001
55,"Duby Okeke, C",WIN,2,18.0,5,6,2.50,5.56,0.83,56,2001
56,"Eric Mika, F",BYU,2,24.5,5,3,2.50,4.08,1.67,57,2001
57,"Kenneth Lowe, F",GB,2,19.5,5,5,2.50,5.13,1.00,58,2001
58,"Ugo Mmonu, F",CHSO,2,21.5,5,5,2.50,4.65,1.00,59,2001
59,"Javion Ogunyemi, F",SIE,2,25.5,5,8,2.50,3.92,0.63,60,2001
60,"Fred Iruafemi, F",VMI,2,20.0,5,7,2.50,5.00,0.71,61,2001
61,"Brandon Clarke, F",SJSU,2,33.5,5,3,2.50,2.99,1.67,62,2001
62,"Brandon Gilbeck, C",WIU,2,19.5,5,8,2.50,5.13,0.63,63,2001
63,"Cullen Russo, F",FRES,2,35.5,5,8,2.50,2.82,0.63,64,2001
64,"Cortez Edwards, G",USM,2,30.0,5,3,2.50,3.33,1.67,65,2001
65,"Duop Reath, F",LSU,2,24.5,5,6,2.50,4.08,0.83,66,2001
66,"Sagaba Konate, F",WVU,2,15.5,5,2,2.50,6.45,2.50,67,2001
67,"Miye Oni, G",YALE,2,33.0,5,8,2.50,3.03,0.63,68,2001
68,"Mangok Mathiang, F",LOU,3,20.0,7,6,2.33,4.67,1.17,69,2001
69,"Damonte Dodd, F",MD,3,17.3,7,9,2.33,5.38,0.78,70,2001
70,"Dakarai Allen, G",SDSU,3,27.7,7,8,2.33,3.37,0.88,71,2001
71,"Dylan Johns, C",CSN,3,20.3,7,10,2.33,4.59,0.70,72,2001
72,"Liam Thomas, C",NICH,3,26.0,7,8,2.33,3.59,0.88,73,2001
73,"Chancellor Barnard, G",L-MD,3,31.0,7,6,2.33,3.01,1.17,74,2001
74,"Keenan Simmons, F",SIUE,3,24.7,7,8,2.33,3.78,0.88,75,2001
75,"Obi Enechionyia, F",TEM,3,36.0,7,10,2.33,2.59,0.70,76,2001
76,"Nana Foulland, C",BUCK,3,25.0,7,9,2.33,3.73,0.78,77,2001
77,"Dan Jech, F",SDAK,4,17.5,9,8,2.25,5.14,1.13,78,2001
78,"LaRon Smith, F",AUB,3,18.3,6,8,2.00,4.36,0.75,79,2001
79,"Sindarius Thornwell, G",SC,3,33.3,6,7,2.00,2.40,0.86,80,2001
80,"Trevor Thompson, C",OSU,3,18.3,6,10,2.00,4.36,0.60,81,2001
81,"Darius Lewis, C",DUQ,3,19.0,6,12,2.00,4.21,0.50,82,2001
82,"Reggie Lynch, C",MINN,3,18.0,6,11,2.00,4.44,0.55,83,2001
83,"Derek Willis, F",UK,3,21.0,6,2,2.00,3.81,3.00,84,2001
84,"Valentine Izundu, C",SDSU,2,20.0,4,3,2.00,4.00,1.33,85,2001
85,"Tyrone O'Garro, F",FDU,2,20.0,4,3,2.00,4.00,1.33,86,2001
86,"Conor Clifford, C",WSU,2,13.5,4,2,2.00,5.93,2.00,87,2001
87,"D.J. Johnson, F",KSU,2,24.5,4,6,2.00,3.27,0.67,88,2001
88,"Tevin Prescott, F",WIN,2,14.5,4,5,2.00,5.52,0.80,89,2001
89,"Quinton Stephens, F",GT,2,31.5,4,3,2.00,2.54,1.33,90,2001
90,"Denzel Gregg, F",SBON,2,33.5,4,4,2.00,2.39,1.00,91,2001
91,"Jimmie Taylor, F",ALA,2,19.5,4,5,2.00,4.10,0.80,92,2001
92,"Antonio Campbell, F",OHIO,2,25.5,4,6,2.00,3.14,0.67,93,2001
93,"Rashawn Thomas, F",AMCC,2,29.0,4,6,2.00,2.76,0.67,94,2001
94,"Gary Clark, F",CIN,2,25.5,4,4,2.00,3.14,1.00,95,2001
95,"Jamuni McNeace, C",OKLA,2,17.0,4,7,2.00,4.71,0.57,96,2001
96,"Zach Smith, F",TTU,2,25.5,4,4,2.00,3.14,1.00,97,2001
97,"Eric Fanning, G",BU,1,33.0,2,4,2.00,2.42,0.50,98,2001
98,"Dan Garvin, F",BRY,1,25.0,2,4,2.00,3.20,0.50,99,2001
99,"Tyrell Sturdivant, F",STON,1,28.0,2,1,2.00,2.86,2.00,100,2001
0,"Wojciech Myrda, C",ULM,32,25.4,172,81,5.38,8.47,2.12,1,2002
1,"Emeka Okafor, F-C",CONN,30,30.3,127,76,4.23,5.59,1.67,2,2002
2,"D'or Fischer, C",NWST,30,25.6,125,83,4.17,6.52,1.51,3,2002
3,"Justin Rowe, C",MAINE,30,32.6,121,77,4.03,4.95,1.57,4,2002
4,"Deng Gai, F",FAIR,29,25.6,115,101,3.97,6.19,1.14,5,2002
5,"Nick Billings, C",BING,21,17.5,80,60,3.81,8.72,1.33,6,2002
6,"Moussa Badiane, C",ECU,24,23.2,87,73,3.63,6.25,1.19,7,2002
7,"Jason Jennings, C",ARST,30,28.1,101,95,3.37,4.80,1.06,8,2002
8,"Melvin Ely, C",FRES,27,35.4,88,65,3.26,3.68,1.35,9,2002
9,"Robert Battle, C",DREX,28,32.2,91,84,3.25,4.04,1.08,10,2002
10,"Kyle Davis, C",AUB,24,20.3,77,66,3.21,6.31,1.17,11,2002
11,"Vili Morton, F",UCRV,26,29.8,83,86,3.19,4.28,0.97,12,2002
12,"Michael Southall, C",ULL,30,28.8,94,102,3.13,4.35,0.92,13,2002
13,"Kendrick Moore, F",ORU,31,21.4,97,88,3.13,5.84,1.10,14,2002
14,"Cedric Suitt, C",PEPP,30,20.2,92,95,3.07,6.08,0.97,15,2002
15,"Neil Ashby, F",CHAT,29,26.0,88,84,3.03,4.66,1.05,16,2002
16,"Curtis Borchardt, C",STAN,27,31.1,76,79,2.81,3.62,0.96,17,2002
17,"Hondre Brewer, C",SF,28,21.0,77,92,2.75,5.25,0.84,18,2002
18,"Ryan Humphrey, F",ND,29,35.4,78,75,2.69,3.04,1.04,19,2002
19,"Lonnie Jones, C",BALL,30,24.7,80,75,2.67,4.32,1.07,20,2002
20,"Jeremy Sargent, F",UTM,28,27.2,74,98,2.64,3.88,0.76,21,2002
21,"Chris Wiedemann, C",CLMB,26,30.0,66,79,2.54,3.38,0.84,22,2002
22,"Raynell Brewer, C",MCNS,28,29.4,70,81,2.50,3.40,0.86,23,2002
23,"James Jones, F",MIA,31,32.7,77,75,2.48,3.04,1.03,24,2002
24,"David West, F",XAV,30,34.2,74,79,2.47,2.88,0.94,25,2002
25,"L.F. Likcholitov, C",VCU,32,28.1,78,87,2.44,3.47,0.90,26,2002
26,"Rolan Roberts, C",SIU,33,26.4,80,110,2.42,3.67,0.73,27,2002
27,"William McDonald, F",GRAM,27,23.3,65,77,2.41,4.14,0.84,28,2002
28,"Nosa Obasuyi, C",RAD,31,23.2,74,93,2.39,4.12,0.80,29,2002
29,"Danny Granger, F",BRAD,29,24.9,69,107,2.38,3.82,0.64,30,2002
30,"Nick Collison, F",KU,32,26.6,74,90,2.31,3.48,0.82,31,2002
31,"David Dixon, C",WASH,29,27.9,67,107,2.31,3.31,0.63,32,2002
32,"Rans Brempong, F-C",WCU,28,20.8,64,74,2.29,4.41,0.86,33,2002
33,"Wesley Wilson, C",GTWN,30,25.5,68,76,2.27,3.56,0.89,34,2002
34,"Jason Smith, F",GW,28,32.1,62,87,2.21,2.76,0.71,35,2002
35,"Johnathan Collins, F",RICH,32,20.3,69,75,2.16,4.26,0.92,36,2002
36,"Shema Mbyirukira, F-C",BSC,27,18.6,58,61,2.15,4.63,0.95,37,2002
37,"Josh Lewis, C",PEAY,32,27.4,66,107,2.06,3.01,0.62,38,2002
38,"Kevin Johnson, F",TLSA,32,26.5,66,82,2.06,3.11,0.80,39,2002
39,"Raitis Grafs, C",VALP,31,28.6,63,99,2.03,2.84,0.64,40,2002
40,"Arthur Johnson, C",MIZ,32,28.7,65,95,2.03,2.84,0.68,41,2002
41,"Jeff Newton, F",IND,31,20.4,62,69,2.00,3.92,0.90,42,2002
42,"James Singleton, F",MURR,30,30.0,60,93,2.00,2.66,0.65,43,2002
43,"Jerald Fields, F",ETSU,28,30.3,56,93,2.00,2.64,0.60,44,2002
44,"Eddy Fobbs, F-C",SHSU,28,15.2,55,86,1.96,5.16,0.64,45,2002
45,"Mike Benton, C",COFC,28,19.0,55,45,1.96,4.13,1.22,46,2002
46,"Ryan Lewis, C",JAC,28,13.5,55,66,1.96,5.84,0.83,47,2002
47,"Raheim Brown, F",FAU,30,31.4,58,66,1.93,2.46,0.88,48,2002
48,"Lonny Baxter, F",MD,29,28.9,56,88,1.93,2.67,0.64,49,2002
49,"John Allison, C",PUR,31,25.5,59,99,1.90,2.98,0.60,50,2002
50,"Craig Forth, C",SYR,31,21.9,59,96,1.90,3.48,0.61,51,2002
51,"Patrick Flomo, F",OHIO,28,25.5,52,78,1.86,2.91,0.67,52,2002
52,"Marcus Douthit, C",PROV,30,17.8,55,79,1.83,4.11,0.70,53,2002
53,"Taurance Johnson, F",FIU,30,28.0,55,83,1.83,2.62,0.66,54,2002
54,"Haim Shimonovich, F-C",HAW,32,28.8,58,104,1.81,2.51,0.56,55,2002
55,"Rashod Kent, F",RUTG,30,30.5,54,104,1.80,2.36,0.52,56,2002
56,"Ajou Deng, F",FAIR,23,30.3,41,45,1.78,2.35,0.91,57,2002
57,"Albert Hacker, C",LIP,26,19.5,46,65,1.77,3.62,0.71,58,2002
58,"Marcus Haislip, F",TENN,25,33.5,44,86,1.76,2.10,0.51,59,2002
59,"Matt Tullis, F",MRST,28,24.4,49,92,1.75,2.87,0.53,60,2002
60,"George Williams, F",HOU,31,31.7,54,73,1.74,2.20,0.74,61,2002
61,"Calvin Warner, F",JAC,29,28.4,50,68,1.72,2.43,0.74,62,2002
62,"Andy Ellis, C",TTU,31,34.5,53,74,1.71,1.98,0.72,63,2002
63,"Latece Williams, F",MRSH,30,30.8,51,81,1.70,2.21,0.63,64,2002
64,"Justin Howard, C",MER,29,26.0,49,89,1.69,2.60,0.55,65,2002
65,"Mike Sweetney, F",GTWN,29,30.4,48,62,1.66,2.17,0.77,66,2002
66,"Christopher Sockwell, F",SFNY,29,27.0,48,100,1.66,2.45,0.48,67,2002
67,"Jamal Sampson, F",CAL,30,24.6,49,79,1.63,2.65,0.62,68,2002
68,"Ben Lambert, C",USM,27,25.0,44,86,1.63,2.60,0.51,69,2002
69,"Chris Kaman, C",CMU,24,25.2,39,68,1.63,2.58,0.57,70,2002
70,"Kitwana Rhymer, C",UMASS,29,24.6,47,88,1.62,2.63,0.53,71,2002
71,"Carlton Carter, F",VT,28,27.7,45,82,1.61,2.32,0.55,72,2002
72,"Jeremy McNeil, C",SYR,28,15.2,45,82,1.61,4.23,0.55,73,2002
73,"Donald Little, C",CIN,33,23.8,53,100,1.61,2.70,0.53,74,2002
74,"Brody Deren, C",CREI,30,23.5,48,75,1.60,2.72,0.64,75,2002
75,"George Leach, C",IND,27,10.3,43,36,1.59,6.16,1.19,76,2002
76,"Pervis Pasco, F",KSU,29,29.5,46,71,1.59,2.15,0.65,77,2002
77,"Drew DeMond, F",SEMO,24,26.1,38,59,1.58,2.42,0.64,78,2002
78,"Varnie Dennis, F",CP,27,27.7,42,103,1.56,2.25,0.41,79,2002
79,"Gerrick Morris, F",USF,29,10.1,45,48,1.55,6.12,0.94,80,2002
80,"Lee Nosse, C",MTSU,29,33.0,45,84,1.55,1.88,0.54,81,2002
81,"Corsley Edwards, C",CCSU,31,30.8,48,74,1.55,2.01,0.65,82,2002
82,"Jason Maxiell, F",CIN,33,20.9,51,88,1.55,2.95,0.58,83,2002
83,"Dalron Johnson, F",UNLV,30,31.2,46,91,1.53,1.97,0.51,84,2002
84,"Chris Wilcox, F",MD,30,23.7,46,83,1.53,2.59,0.55,85,2002
85,"Jermaine Hill, C",FAMU,27,24.2,41,74,1.52,2.51,0.55,86,2002
86,"Elton Tyler, F",MIA,31,28.9,47,81,1.52,2.10,0.58,87,2002
87,"Marlon Dumont, F",TCU,31,19.9,47,99,1.52,3.05,0.47,88,2002
88,"Ivan Coulter, F",PV,30,18.6,45,80,1.50,3.23,0.56,89,2002
89,"John Turek, F",NEB,26,22.8,39,71,1.50,2.64,0.55,90,2002
90,"Jabahri Brown, C",OKLA,25,22.7,37,81,1.48,2.61,0.46,91,2002
91,"Angel Rivera, F",MSM,23,28.7,34,87,1.48,2.06,0.39,92,2002
92,"Sean Finn, C",DAY,30,17.5,44,75,1.47,3.35,0.59,93,2002
93,"Kelly Wise, F",MEM,28,30.3,41,64,1.46,1.93,0.64,94,2002
94,"Phillip Ricci, F",ORST,28,31.9,41,68,1.46,1.83,0.60,95,2002
95,"Danny Walker, F",HOF,28,26.9,41,78,1.46,2.18,0.53,96,2002
96,"Patrick Simpson, F",SMU,28,24.9,41,77,1.46,2.35,0.53,97,2002
97,"Josh Grant, C",WIN,24,9.5,35,39,1.46,6.11,0.90,98,2002
98,"Brooks Sales, F",NOVA,29,34.1,42,88,1.45,1.70,0.48,99,2002
99,"Antwan Scott, F",WAKE,32,27.8,46,58,1.44,2.07,0.79,100,2002
100,"Drew Gooden, F",KU,32,30.1,46,80,1.44,1.91,0.58,101,2002
101,"James Moore, F",NMSU,32,27.8,46,97,1.44,2.07,0.47,102,2002
102,"Adama Ndiaye, F",UCSB,30,28.6,43,89,1.43,2.01,0.48,103,2002
103,"Marcus Smallwood, F",NIU,28,27.6,40,75,1.43,2.07,0.53,104,2002
104,"Paul Reed, F",UCF,28,28.9,40,66,1.43,1.98,0.61,105,2002
105,"Cuthbert Victor, F",MURR,31,27.3,44,109,1.42,2.08,0.40,106,2002
106,"Eugene Dabney, F",RUTG,29,16.7,41,57,1.41,3.40,0.72,107,2002
107,"Ian Caskill, C",JMU,29,19.0,41,76,1.41,2.98,0.54,108,2002
108,"Brian Cook, F",ILL,32,28.6,45,104,1.41,1.97,0.43,109,2002
109,"Sam Clancy, F",USC,31,37.4,43,94,1.39,1.49,0.46,110,2002
110,"Chris Young, F",MICH,29,31.6,40,84,1.38,1.75,0.48,111,2002
111,"Jules Camara, F",UK,29,16.6,40,53,1.38,3.32,0.75,112,2002
112,"Tayshaun Prince, F",UK,29,32.9,40,46,1.38,1.68,0.87,113,2002
113,"Jerry Holman, F",MINN,29,21.6,40,79,1.38,2.56,0.51,114,2002
114,"Jason Clark, F",UVA,27,12.1,37,46,1.37,4.51,0.80,115,2002
115,"Greg Jenkins, F-C",IONA,30,27.2,41,108,1.37,2.01,0.38,116,2002
116,"Greg Davis, F",BAY,25,25.7,34,66,1.36,2.12,0.52,117,2002
117,"Babacar Camara, C",CSF,25,24.5,34,79,1.36,2.22,0.43,118,2002
118,"Adam Parada, C",UCI,31,25.0,42,90,1.35,2.17,0.47,119,2002
119,"Ugonna Onyekwe, F",PENN,31,30.2,42,83,1.35,1.79,0.51,120,2002
0,"Emeka Okafor, F-C",CONN,30,32.9,141,89,4.70,5.71,1.58,1,2003
1,"Nick Billings, C",BING,27,23.4,116,90,4.30,7.35,1.29,2,2003
2,"Justin Rowe, C",MAINE,25,29.0,105,56,4.20,5.79,1.88,3,2003
3,"Deng Gai, F",FAIR,24,29.0,92,66,3.83,5.29,1.39,4,2003
4,"Robert Battle, C",DREX,30,30.0,111,91,3.70,4.94,1.22,5,2003
5,"Kyle Davis, C",AUB,31,22.3,110,95,3.55,6.38,1.16,6,2003
6,"Chris Kaman, C",CMU,29,34.2,96,94,3.31,3.87,1.02,7,2003
7,"David Harrison, C",COLO,31,28.2,99,109,3.19,4.53,0.91,8,2003
8,"Kendrick Moore, F",ORU,28,22.5,89,76,3.18,5.65,1.17,9,2003
9,"Mike Sweetney, F",GTWN,29,32.0,91,78,3.14,3.92,1.17,10,2003
10,"Marcus Douthit, C",PROV,29,20.6,89,75,3.07,5.97,1.19,11,2003
11,"Jeremy McNeil, C",SYR,29,18.0,87,91,3.00,6.68,0.96,12,2003
12,"Robin Wentt, F",DEL,1,20.0,3,2,3.00,6.00,1.50,13,2003
13,"Herve Lamizana, F",RUTG,28,29.9,83,89,2.96,3.97,0.93,14,2003
14,"Andre Williams, F",OKST,30,26.7,83,111,2.77,4.15,0.75,15,2003
15,"William McDonald, F",GRAM,30,30.3,83,73,2.77,3.65,1.14,16,2003
16,"Tony Dixon, C",TOWS,28,24.0,77,55,2.75,4.59,1.40,17,2003
17,"Josh Lewis, C",PEAY,30,29.7,80,94,2.67,3.59,0.85,18,2003
18,"Eddy Fobbs, F-C",SHSU,28,18.0,73,80,2.61,5.79,0.91,19,2003
19,"George Leach, C",IND,30,22.2,78,72,2.60,4.68,1.08,20,2003
20,"Rans Brempong, F-C",WCU,26,25.8,65,83,2.50,3.87,0.78,21,2003
21,"Michael Southall, C",ULL,26,28.2,64,87,2.46,3.49,0.74,22,2003
22,"Mike Benton, C",COFC,30,23.1,72,64,2.40,4.16,1.13,23,2003
23,"Kevin Johnson, F",TLSA,31,31.6,74,81,2.39,3.02,0.91,24,2003
24,"Shawnson Johnson, F",LSU,3,17.7,7,3,2.33,5.28,2.33,25,2003
25,"Zakee Wadood, F",ETSU,28,32.4,65,91,2.32,2.87,0.71,26,2003
26,"Moussa Badiane, C",ECU,27,21.7,62,75,2.30,4.23,0.83,27,2003
27,"Josh Grant, C",WIN,29,16.6,66,76,2.28,5.49,0.87,28,2003
28,"Chris Wiedemann, C",CLMB,20,29.0,45,51,2.25,3.11,0.88,29,2003
29,"Wesley Duke, F",MER,29,25.1,65,77,2.24,3.58,0.84,30,2003
30,"Ryan Lewis, C",JAC,28,18.7,62,90,2.21,4.74,0.69,31,2003
31,"Rob Lewin, F",TROY,31,25.5,68,71,2.19,3.45,0.96,32,2003
32,"Jordan Cornette, F",ND,31,18.6,68,69,2.19,4.71,0.99,33,2003
33,"Aaron Morgan, C",CHAT,40,17.7,87,100,2.18,4.91,0.87,34,2003
34,"Tommy Smith, F",ASU,30,29.4,64,97,2.13,2.90,0.66,35,2003
35,"Chris Bosh, F",GT,28,30.6,58,64,2.07,2.70,0.91,36,2003
36,"Jaime Lloreda, F",LSU,29,28.9,60,83,2.07,2.86,0.72,37,2003
37,"James Moore, F",NMSU,23,30.8,47,68,2.04,2.66,0.69,38,2003
38,"Shema Mbyirukira, F-C",BSC,28,14.9,56,78,2.00,5.38,0.72,39,2003
39,"Will Kimble, C",PEPP,1,20.0,2,5,2.00,4.00,0.40,40,2003
40,"Keith Butler, C",TEM,30,20.9,59,88,1.97,3.77,0.67,41,2003
41,"Tahj Holden, F",MD,27,27.1,53,78,1.96,2.89,0.68,42,2003
42,"Jared Homan, C",ISU,29,26.6,56,96,1.93,2.90,0.58,43,2003
43,"Varnie Dennis, F",CP,28,31.8,54,91,1.93,2.43,0.59,44,2003
44,"Albert Hacker, C",LIP,26,17.6,50,68,1.92,4.38,0.74,45,2003
45,"Pape Badiane, C",CLEV,30,25.2,57,87,1.90,3.02,0.66,46,2003
46,"Dwayne Jones, C",JOES,29,20.6,55,68,1.90,3.68,0.81,47,2003
47,"Sherman Gay, F",LMU,31,23.5,58,95,1.87,3.19,0.61,48,2003
48,"Raitis Grafs, C",VALP,30,30.7,56,93,1.87,2.43,0.60,49,2003
49,"Rob Dill, F",LAF,29,27.4,54,75,1.86,2.72,0.72,50,2003
50,"Adam Duggins, C",W&M;,28,26.4,52,90,1.86,2.81,0.58,51,2003
51,"Nick Collison, F",KU,32,32.0,59,77,1.84,2.30,0.77,52,2003
52,"Demetrius Williams, F-C",L-IL,30,28.9,55,91,1.83,2.54,0.60,53,2003
53,"Sean May, F-C",UNC,11,28.0,20,24,1.82,2.60,0.83,54,2003
54,"Jason Grant, C",LAM,27,20.1,49,57,1.81,3.62,0.86,55,2003
55,"Arthur Johnson, C",MIZ,31,32.8,56,84,1.81,2.20,0.67,56,2003
56,"Ian Caskill, C",JMU,30,25.3,54,85,1.80,2.85,0.64,57,2003
57,"Adrian Johnson, F",MCNS,29,26.4,52,86,1.79,2.71,0.60,58,2003
58,"James Singleton, F",MURR,29,32.9,52,85,1.79,2.18,0.61,59,2003
59,"James Jones, F",MIA,28,34.2,50,76,1.79,2.09,0.66,60,2003
60,"Channing Frye, C",ARIZ,28,24.6,50,75,1.79,2.90,0.67,61,2003
61,"Marquis Estill, F",UK,32,23.6,57,95,1.78,3.02,0.60,62,2003
62,"Torin Francis, F",ND,31,27.7,55,62,1.77,2.56,0.89,63,2003
63,"Wesley Wilson, C",GTWN,17,15.9,30,40,1.76,4.44,0.75,64,2003
64,"Kevin Owens, C",MONM,28,29.1,49,100,1.75,2.40,0.49,65,2003
65,"Anwar Ferguson, C",HOU,28,15.6,49,56,1.75,4.50,0.88,66,2003
66,"John Turek, F",NEB,30,27.6,52,99,1.73,2.51,0.53,67,2003
67,"Jonathan Mitchell, F",APP,29,20.3,50,96,1.72,3.40,0.52,68,2003
68,"Jerry Holman, F",MINN,28,24.3,48,93,1.71,2.82,0.52,69,2003
69,"Milton Riley, F",WSU,20,21.8,34,80,1.70,3.13,0.43,70,2003
70,"DeMario Hooper, G-F",CENT,10,27.6,17,20,1.70,2.46,0.85,71,2003
71,"Matt Crawford, C",LEH,28,21.0,47,65,1.68,3.20,0.72,72,2003
72,"Gregg Jones, C",CIT,28,22.4,47,86,1.68,2.99,0.55,73,2003
73,"Kenny Walker, F",ALA,28,24.6,47,77,1.68,2.73,0.61,74,2003
74,"Kenny Whitehead, C",JMU,30,26.2,50,75,1.67,2.54,0.67,75,2003
75,"Trello Galloway, G-F",GAST,27,28.6,45,83,1.67,2.33,0.54,76,2003
76,"Uka Agbai, F",BC,3,33.0,5,9,1.67,2.02,0.56,77,2003
77,"Ronald Mickel, F",CENT,28,26.4,46,72,1.64,2.49,0.64,78,2003
78,"Gabe Lee, C",UMASS,28,22.9,46,40,1.64,2.88,1.15,79,2003
79,"Brody Deren, C",CREI,33,19.1,54,79,1.64,3.43,0.68,80,2003
80,"Marvin Stone, F",LOU,22,27.0,36,70,1.64,2.42,0.51,81,2003
81,"Tahric Gosley, F",CLEV,30,25.8,49,94,1.63,2.53,0.52,82,2003
82,"Sylbrin Robinson, F",NE,27,30.5,44,79,1.63,2.14,0.56,83,2003
83,"Lovell Craig, C",TROY,31,13.9,50,71,1.61,4.63,0.70,84,2003
84,"Michael Bauer, F",MINN,28,25.7,45,73,1.61,2.50,0.62,85,2003
85,"Jan Jagla, F",PSU,28,25.6,45,99,1.61,2.51,0.45,86,2003
86,"Jeremee McGuire, C",HOU,28,24.9,45,82,1.61,2.59,0.55,87,2003
87,"David West, F",XAV,30,36.7,48,89,1.60,1.74,0.54,88,2003
88,"Donald Cole, F",SHSU,29,28.0,46,70,1.59,2.27,0.66,89,2003
89,"Chris Daniels, F",UGA,26,28.6,41,89,1.58,2.21,0.46,90,2003
90,"Charles Henson, F",IONA,28,21.7,44,91,1.57,2.89,0.48,91,2003
