,PLAYER,TEAM,GP,MPG,STL,STPG,STP40M,TO,TOPG,PF,ST/TO,ST/PF,RK,Year
44,"Jahad Thomas, G",UML,3,30.7,8,2.67,3.48,14,4.67,9,0.57,0.89,45,2001
45,"Greg Pryor, G",CHAT,3,26.3,8,2.67,4.05,10,3.33,11,0.80,0.73,46,2001
46,"Ahmad Thomas, G",UNCA,3,35.3,8,2.67,3.02,5,1.67,9,1.60,0.89,47,2001
47,"Ben Richardson, G",L-IL,3,22.3,8,2.67,4.78,1,0.33,5,8.00,1.60,48,2001
48,"Craig Bowman, G",FAMU,3,24.0,8,2.67,4.44,5,1.67,6,1.60,1.33,49,2001
49,"Matt Frierson, G",CIT,3,19.3,8,2.67,5.52,4,1.33,2,2.00,4.00,50,2001
50,"Marlain Veal, G",SELA,3,30.7,8,2.67,3.48,10,3.33,8,0.80,1.00,51,2001
51,"Nick Dixon, G",TRGV,3,24.3,8,2.67,4.38,11,3.67,6,0.73,1.33,52,2001
52,"Anthony Cowan, G",MD,3,24.3,8,2.67,4.38,8,2.67,6,1.00,1.33,53,2001
53,"Frankie Johnson, G",CIT,3,26.0,8,2.67,4.10,7,2.33,7,1.14,1.14,54,2001
54,"Jake Kocher, G",AMCC,2,24.5,5,2.50,4.08,1,0.50,3,5.00,1.67,55,2001
55,"Aaron Anderson, G",ORU,2,35.5,5,2.50,2.82,6,3.00,3,0.83,1.67,56,2001
56,"D.J. Johnson, F",KSU,2,24.5,5,2.50,4.08,1,0.50,6,5.00,0.83,57,2001
57,"Manu Lecomte, G",BAY,2,35.0,5,2.50,2.86,3,1.50,2,1.67,2.50,58,2001
58,"Isaac Thornton, G",SJSU,2,24.5,5,2.50,4.08,2,1.00,7,2.50,0.71,59,2001
59,"Antwoine Anderson, G",FOR,2,29.0,5,2.50,3.45,1,0.50,5,5.00,1.00,60,2001
60,"ShawnDre' Jones, G",RICH,2,35.5,5,2.50,2.82,4,2.00,5,1.25,1.00,61,2001
61,"Brenton Scott, G",INST,2,36.0,5,2.50,2.78,4,2.00,5,1.25,1.00,62,2001
62,"Zack Denny, G",BGSU,2,30.0,5,2.50,3.33,2,1.00,5,2.50,1.00,63,2001
63,"A.J. Jacobson, G",NDSU,2,29.5,5,2.50,3.39,0,0.00,4,0.00,1.25,64,2001
64,"Jimmie Taylor, G",RID,2,36.0,5,2.50,2.78,3,1.50,5,1.67,1.00,65,2001
65,"Remond Brown, G",GRAM,2,28.5,5,2.50,3.51,2,1.00,6,2.50,0.83,66,2001
66,"Chace Franklin, G",JKST,2,31.0,5,2.50,3.23,2,1.00,5,2.50,1.00,67,2001
67,"Chris Flemmings, G",UNCW,2,32.5,5,2.50,3.08,7,3.50,4,0.71,1.25,68,2001
68,"Divine Myles, G",STET,2,29.0,5,2.50,3.45,4,2.00,3,1.25,1.67,69,2001
69,"Jeff Garrett, F",NKU,2,19.0,5,2.50,5.26,2,1.00,5,2.50,1.00,70,2001
70,"Alex Robinson, G",TCU,2,28.5,5,2.50,3.51,5,2.50,3,1.00,1.67,71,2001
71,"Isaiah Walton, G",LONG,2,30.0,5,2.50,3.33,8,4.00,4,0.63,1.25,72,2001
72,"Matt Farrell, G",ND,2,25.5,5,2.50,3.92,3,1.50,3,1.67,1.67,73,2001
73,"Warren Jones, G",GB,2,18.5,5,2.50,5.41,4,2.00,3,1.25,1.67,74,2001
74,"C.J. Rivers, G",DRKE,2,29.5,5,2.50,3.39,3,1.50,4,1.67,1.25,75,2001
75,"Trevor Lyons, G",AFA,2,22.0,5,2.50,4.55,1,0.50,2,5.00,2.50,76,2001
76,"Micah Seaborn, G",MONM,2,33.5,5,2.50,2.99,4,2.00,3,1.25,1.67,77,2001
77,"Jon Elmore, G",MRSH,2,32.5,5,2.50,3.08,5,2.50,5,1.00,1.00,78,2001
78,"Joseph Chartouny, G",FOR,2,31.5,5,2.50,3.17,5,2.50,4,1.00,1.25,79,2001
79,"Kyle Leufroy, G",LEH,2,33.5,5,2.50,2.99,5,2.50,4,1.00,1.25,80,2001
80,"Michael Carey, G",WAG,2,36.5,5,2.50,2.74,7,3.50,5,0.71,1.00,81,2001
81,"Jaren Lewis, G",ACU,2,26.5,5,2.50,3.77,3,1.50,8,1.67,0.63,82,2001
82,"Rashard Odomes, G",OKLA,2,26.5,5,2.50,3.77,5,2.50,3,1.00,1.67,83,2001
83,"Frank Howard, G",SYR,2,21.0,5,2.50,4.76,4,2.00,3,1.25,1.67,84,2001
84,"Shaq Calhoun, G",USA,2,19.5,5,2.50,5.13,1,0.50,7,5.00,0.71,85,2001
85,"C.J. Bryce, G",UNCW,2,34.0,5,2.50,2.94,3,1.50,8,1.67,0.63,86,2001
86,"Fred Sims Jr., G",CHS,2,31.0,5,2.50,3.23,4,2.00,4,1.25,1.25,87,2001
87,"Jonathan Isaac, F",FSU,2,23.0,5,2.50,4.35,1,0.50,2,5.00,2.50,88,2001
88,"Kamar Baldwin, G",BUT,2,24.5,5,2.50,4.08,1,0.50,3,5.00,1.67,89,2001
89,"Frankie Hughes, G",MIZ,2,31.0,5,2.50,3.23,5,2.50,1,1.00,5.00,90,2001
90,"Daryl Macon, G",ARK,2,26.5,5,2.50,3.77,4,2.00,5,1.25,1.00,91,2001
91,"De'Anthony Melton, G",USC,2,26.0,5,2.50,3.85,4,2.00,4,1.25,1.25,92,2001
92,"Christian Terrell, G",UCSB,2,25.0,5,2.50,4.00,4,2.00,4,1.25,1.25,93,2001
93,"Darrell Brown, G",BRAD,2,30.0,5,2.50,3.33,4,2.00,4,1.25,1.25,94,2001
94,"Jamar Martin, F",CHSO,2,19.0,5,2.50,5.26,3,1.50,7,1.67,0.71,95,2001
95,"Godwin Boahen, G",UIC,2,26.5,5,2.50,3.77,6,3.00,6,0.83,0.83,96,2001
96,"Jamal Wright, G",HP,2,27.5,5,2.50,3.64,3,1.50,3,1.67,1.67,97,2001
97,"Jalin Hart, G",IW,2,27.0,5,2.50,3.70,1,0.50,4,5.00,1.25,98,2001
98,"Edric Dennis, G",JKST,2,34.0,5,2.50,2.94,7,3.50,4,0.71,1.25,99,2001
99,"Daquan Cook, G",PV,3,31.7,7,2.33,2.95,7,2.33,4,1.00,1.75,100,2001
0,"Desmond Cambridge, G",AAMU,29,29.5,160,5.52,7.48,119,4.10,81,1.34,1.98,1,2002
1,"John Linehan, G",PROV,31,33.7,139,4.48,5.32,72,2.32,81,1.93,1.72,2,2002
2,"Mire Chatman, G",TRGV,30,34.2,105,3.50,4.09,110,3.67,75,0.95,1.40,3,2002
3,"Marques Green, G",SBON,29,38.0,98,3.38,3.56,73,2.52,73,1.34,1.34,4,2002
4,"Marcus Hatten, G",SJU,31,36.6,103,3.32,3.63,117,3.77,81,0.88,1.27,5,2002
5,"Carlos Morban, G",FIU,29,28.7,87,3.00,4.19,94,3.24,85,0.93,1.02,6,2002
6,"Jason Conley, F",VMI,28,34.3,82,2.93,3.42,103,3.68,52,0.80,1.58,7,2002
7,"James Thues, G",SYR,31,31.4,87,2.81,3.58,75,2.42,61,1.16,1.43,8,2002
8,"Markus Carr, G",CSN,28,32.5,77,2.75,3.38,107,3.82,62,0.72,1.24,9,2002
9,"Kevin Braswell, G",GTWN,30,33.6,81,2.70,3.22,90,3.00,65,0.90,1.25,10,2002
10,"Juan Dixon, G",MD,30,33.0,80,2.67,3.23,73,2.43,61,1.10,1.31,11,2002
11,"Chuck Eidson, G",SC,32,29.5,84,2.63,3.56,59,1.84,75,1.42,1.12,12,2002
12,"Von Damien Green, G",MAN,28,37.5,72,2.57,2.74,89,3.18,84,0.81,0.86,13,2002
13,"Ricky Minard, G-F",MORE,29,35.6,73,2.52,2.83,86,2.97,91,0.85,0.80,14,2002
14,"Courtney Eldridge, G",UNCG,29,31.8,73,2.52,3.17,105,3.62,68,0.70,1.07,15,2002
15,"Jay Heard, F",JVST,29,32.6,73,2.52,3.09,59,2.03,90,1.24,0.81,16,2002
16,"Garrett Richardson, G",TNST,28,34.6,70,2.50,2.89,95,3.39,62,0.74,1.13,17,2002
17,"Dwyane Wade, G",MARQ,31,29.2,76,2.45,3.36,95,3.06,77,0.80,0.99,18,2002
18,"Andrew Gellert, G",HARV,26,31.2,63,2.42,3.11,43,1.65,74,1.47,0.85,19,2002
19,"Chris Caldwell, G",LIB,30,32.5,72,2.40,2.95,82,2.73,90,0.88,0.80,20,2002
20,"Brian Allen, G",TOWS,28,30.4,67,2.39,3.15,150,5.36,61,0.45,1.10,21,2002
21,"Demarcus Wilkins, G",FAMU,28,30.3,67,2.39,3.16,79,2.82,72,0.85,0.93,22,2002
22,"David Sykes, G",TXST,26,25.6,62,2.38,3.73,69,2.65,67,0.90,0.93,23,2002
23,"Darius Lane, G",HALL,29,28.8,69,2.38,3.31,71,2.45,83,0.97,0.83,24,2002
24,"Brandin Knight, G",PITT,32,36.4,76,2.38,2.61,103,3.22,79,0.74,0.96,25,2002
25,"Mike Dunleavy, F",DUKE,32,32.5,74,2.31,2.85,52,1.63,73,1.42,1.01,26,2002
26,"Travarus Bennett, F",MINN,29,27.5,67,2.31,3.36,34,1.17,70,1.97,0.96,27,2002
27,"Chauncey Bryant, G",MCNS,29,29.0,67,2.31,3.19,72,2.48,64,0.93,1.05,28,2002
28,"Thomas Jackson, G",BUT,30,32.8,69,2.30,2.80,52,1.73,38,1.33,1.82,29,2002
29,"Bruce Fields, F",WEBB,27,29.6,62,2.30,3.10,69,2.56,63,0.90,0.98,30,2002
30,"William (Smoosh Parker, G",FOR,28,35.0,64,2.29,2.61,122,4.36,71,0.52,0.90,31,2002
31,"Chris Duhon, G",DUKE,32,35.1,73,2.28,2.60,86,2.69,61,0.85,1.20,32,2002
32,"Antawn Dobie, G",LIU,26,34.8,59,2.27,2.61,115,4.42,52,0.51,1.13,33,2002
33,"Derrick Zimmerman, G",MSST,33,32.7,74,2.24,2.75,112,3.39,84,0.66,0.88,34,2002
34,"Clay Tucker, F",MILW,29,31.1,65,2.24,2.88,68,2.34,75,0.96,0.87,35,2002
35,"Caron Butler, F",CONN,30,35.8,67,2.23,2.50,89,2.97,65,0.75,1.03,36,2002
36,"Troy Bell, G",BC,31,37.4,69,2.23,2.38,94,3.03,79,0.73,0.87,37,2002
37,"Jermaine Williams, F",LSU,32,29.6,71,2.22,3.00,53,1.66,55,1.34,1.29,38,2002
38,"DeShaun Williams, G",SYR,28,35.1,62,2.21,2.52,109,3.89,74,0.57,0.84,39,2002
39,"Robert Rushing, G",TROY,28,34.1,62,2.21,2.60,95,3.39,58,0.65,1.07,40,2002
40,"Errick Craven, G",USC,31,27.7,68,2.19,3.16,58,1.87,92,1.17,0.74,41,2002
41,"Chris Thomas, G",ND,31,38.0,68,2.19,2.31,94,3.03,67,0.72,1.01,42,2002
42,"Marcus Banks, G",UNLV,29,32.4,63,2.17,2.68,94,3.24,88,0.67,0.72,43,2002
43,"Wendell Greenleaf, G",BAY,30,29.1,65,2.17,2.97,96,3.20,79,0.68,0.82,44,2002
44,"Jave Meade, G",HC,32,34.3,69,2.16,2.52,82,2.56,85,0.84,0.81,45,2002
45,"Jermaine Boyette, G",WEB,29,29.8,62,2.14,2.87,75,2.59,67,0.83,0.93,46,2002
46,"Eric Bush, G",UAB,30,32.5,64,2.13,2.62,105,3.50,57,0.61,1.12,47,2002
47,"Tony Dobbins, G",RICH,31,25.6,66,2.13,3.33,56,1.81,66,1.18,1.00,48,2002
48,"Jason Williams, G",DUKE,32,33.8,68,2.13,2.51,122,3.81,70,0.56,0.97,49,2002
49,"Anthony Grundy, G",NCST,32,32.5,68,2.13,2.61,73,2.28,66,0.93,1.03,50,2002
50,"Alvin Green, G",CCAR,28,33.9,59,2.11,2.49,80,2.86,87,0.74,0.68,51,2002
51,"Nate Brown, G",SPU,28,34.2,59,2.11,2.46,135,4.82,90,0.44,0.66,52,2002
52,"Delvon Arrington, G",FSU,29,33.6,61,2.10,2.51,110,3.79,52,0.55,1.17,53,2002
53,"T.J. Ford, G",TEX,30,32.4,63,2.10,2.59,116,3.87,82,0.54,0.77,54,2002
54,"Frank Williams, G",ILL,32,32.4,67,2.09,2.58,86,2.69,69,0.78,0.97,55,2002
55,"Victor Tarver, G",SOU,26,34.1,54,2.08,2.44,110,4.23,61,0.49,0.89,56,2002
56,"Patrick Harvey, G",HARV,26,34.3,54,2.08,2.42,65,2.50,56,0.83,0.96,57,2002
57,"Damien Jenifer, G",L-MD,27,31.9,56,2.07,2.60,87,3.22,67,0.64,0.84,58,2002
58,"Brian Hamilton, F",AMCC,27,28.8,56,2.07,2.88,72,2.67,94,0.78,0.60,59,2002
59,"Andrew Wisniewski, G",CENT,27,33.8,56,2.07,2.45,106,3.93,77,0.53,0.73,60,2002
60,"Ashley Robinson, G",MVSU,29,38.9,60,2.07,2.13,70,2.41,59,0.86,1.02,61,2002
61,"Brett Blizzard, G",UNCW,31,36.1,64,2.06,2.29,54,1.74,42,1.19,1.52,62,2002
62,"Guilherme Da Luz, G",FUR,31,33.9,64,2.06,2.44,96,3.10,77,0.67,0.83,63,2002
63,"B.B. Waldon, F",USF,31,31.3,64,2.06,2.64,81,2.61,90,0.79,0.71,64,2002
64,"Marcus Moore, G",WSU,27,35.1,55,2.04,2.32,95,3.52,67,0.58,0.82,65,2002
65,"Drew Schifino, F",WVU,28,21.8,57,2.04,3.73,46,1.64,77,1.24,0.74,66,2002
66,"Ed O'Neil, G",CHSO,29,31.4,59,2.03,2.59,83,2.86,62,0.71,0.95,67,2002
67,"Preston Shumpert, G",SYR,31,36.3,63,2.03,2.24,78,2.52,55,0.81,1.15,68,2002
68,"Keith McLeod, G",BGSU,32,33.7,64,2.00,2.38,95,2.97,84,0.67,0.76,69,2002
69,"Brad Buddenborg, G",OAK,30,27.4,60,2.00,2.92,28,0.93,82,2.14,0.73,70,2002
70,"Andre Smith, G",UNCA,22,29.0,44,2.00,2.76,69,3.14,57,0.64,0.77,71,2002
71,"B.J. Haigler, G",RAD,31,26.4,61,1.97,2.99,103,3.32,55,0.59,1.11,72,2002
72,"Mike Byars-Dawson, G",NWST,31,30.5,61,1.97,2.58,82,2.65,84,0.74,0.73,73,2002
73,"Alan (Junior) Blount, G",TCU,31,33.2,61,1.97,2.37,76,2.45,82,0.80,0.74,74,2002
74,"Kason Mims, G",QUIN,30,31.0,59,1.97,2.54,76,2.53,106,0.78,0.56,75,2002
75,"Orien Greene, G",FLA,30,23.5,59,1.97,3.35,48,1.60,77,1.23,0.77,76,2002
76,"Chris Daniels, F",UGA,30,31.1,59,1.97,2.53,71,2.37,101,0.83,0.58,77,2002
77,"Wallace Prather, G",COR,27,28.9,53,1.96,2.71,33,1.22,55,1.61,0.96,78,2002
78,"P.J. Smith, G",NIU,27,27.1,53,1.96,2.90,65,2.41,103,0.82,0.51,79,2002
79,"Courtney Pritchard, G",WAG,24,26.8,47,1.96,2.92,62,2.58,53,0.76,0.89,80,2002
80,"Alex Wesby, F",TEM,23,33.0,45,1.96,2.37,24,1.04,64,1.88,0.70,81,2002
81,"LyRyan Russell, G",SF,22,29.3,43,1.95,2.67,67,3.05,67,0.64,0.64,82,2002
82,"Antonio Burks, G",MEM,31,29.4,60,1.94,2.63,61,1.97,78,0.98,0.77,83,2002
83,"Keith Triplett, G",TOL,30,32.7,58,1.93,2.36,70,2.33,51,0.83,1.14,84,2002
84,"Mike Helms, G",OAK,30,29.8,58,1.93,2.60,86,2.87,84,0.67,0.69,85,2002
85,"T.J. Cleveland, G",ARK,29,18.7,56,1.93,4.14,51,1.76,59,1.10,0.95,86,2002
86,"Jason Morgan, G",SFNY,28,33.3,54,1.93,2.32,109,3.89,76,0.50,0.71,87,2002
87,"Marquis Daniels, F",AUB,28,28.8,54,1.93,2.68,99,3.54,75,0.55,0.72,88,2002
88,"Eugene (Jay) Bates, G",NIU,28,21.8,54,1.93,3.54,63,2.25,77,0.86,0.70,89,2002
89,"Brian Gardner, G",SUU,27,27.1,52,1.93,2.84,63,2.33,64,0.83,0.81,90,2002
90,"Julius Jenkins, G",GASO,27,31.2,52,1.93,2.47,63,2.33,69,0.83,0.75,91,2002
91,"Drew Gooden, F",KU,32,30.1,61,1.91,2.53,98,3.06,80,0.62,0.76,92,2002
92,"Tony Akins, G",GT,31,34.3,59,1.90,2.22,102,3.29,78,0.58,0.76,93,2002
93,"Altron Jackson, F",USF,31,34.2,59,1.90,2.23,56,1.81,78,1.05,0.76,94,2002
94,"Kyle Williams, G",HOW,31,33.8,59,1.90,2.25,88,2.84,73,0.67,0.81,95,2002
95,"Brett Nelson, G",FLA,30,30.4,57,1.90,2.50,74,2.47,83,0.77,0.69,96,2002
96,"Jitim Young, G",NW,29,30.1,55,1.90,2.52,58,2.00,69,0.95,0.80,97,2002
97,"J.R. Bremer, G",SBON,29,38.0,55,1.90,2.00,88,3.03,57,0.63,0.96,98,2002
98,"Jair Peralta, G",UTM,29,29.2,55,1.90,2.60,88,3.03,75,0.63,0.73,99,2002
99,"Sean Kennedy, G",MRST,28,36.1,53,1.89,2.09,97,3.46,70,0.55,0.76,100,2002
100,"Mario Porter, F",RID,28,34.5,53,1.89,2.19,78,2.79,66,0.68,0.80,101,2002
101,"Sean Peterson, G",GASO,28,34.4,53,1.89,2.20,92,3.29,64,0.58,0.83,102,2002
102,"Demetrice Williams, G",USA,28,36.4,53,1.89,2.08,79,2.82,71,0.67,0.75,103,2002
103,"Tommy Adams, G",HAMP,32,35.6,60,1.88,2.11,74,2.31,61,0.81,0.98,104,2002
104,"Vincent Yarbrough, F",TENN,31,35.4,58,1.87,2.12,93,3.00,60,0.62,0.97,105,2002
105,"Rashod Kent, F",RUTG,30,30.5,56,1.87,2.45,68,2.27,104,0.82,0.54,106,2002
106,"Jimmy Boykin, G-F",COPP,30,32.7,56,1.87,2.29,74,2.47,59,0.76,0.95,107,2002
107,"Waitari Marsh, G",TULN,29,28.1,54,1.86,2.65,104,3.59,63,0.52,0.86,108,2002
108,"Michael Watson, G",UMKC,29,39.3,54,1.86,1.90,101,3.48,49,0.53,1.10,109,2002
109,"Kyle Rolston, F",TNST,28,26.5,52,1.86,2.80,71,2.54,93,0.73,0.56,110,2002
110,"Clinton Sims, G",EKY,27,22.5,50,1.85,3.29,70,2.59,47,0.71,1.06,111,2002
111,"Josh Cooperwood, G",TNST,27,28.6,50,1.85,2.59,48,1.78,51,1.04,0.98,112,2002
112,"T.R. Reed, G",BSC,27,33.0,50,1.85,2.24,76,2.81,74,0.66,0.68,113,2002
113,"Dan Beus, F",SUU,26,35.3,48,1.85,2.09,104,4.00,51,0.46,0.94,114,2002
114,"Jonathan Hargett, G",WVU,26,28.5,48,1.85,2.59,106,4.08,42,0.45,1.14,115,2002
115,"Lubos Barton, F",VALP,32,31.1,59,1.84,2.37,61,1.91,54,0.97,1.09,116,2002
116,"John Salmons, F",MIA,31,33.8,57,1.84,2.17,114,3.68,71,0.50,0.80,117,2002
117,"Clyde McCully, G",CHAT,30,32.1,55,1.83,2.29,104,3.47,54,0.53,1.02,118,2002
118,"Errick Greene, G",MAINE,30,37.8,55,1.83,1.94,113,3.77,75,0.49,0.73,119,2002
119,"Jerome Coleman, G",RUTG,30,30.8,55,1.83,2.38,74,2.47,79,0.74,0.70,120,2002
0,"Jonathan Stokes, G",HOW,2,15.0,7,3.50,9.33,2,1.00,1,3.50,7.00,1,2003
1,"Eric Bush, G",UAB,31,30.1,97,3.13,4.15,73,2.35,55,1.33,1.76,2,2003
2,"Zakee Wadood, F",ETSU,28,32.4,86,3.07,3.80,86,3.07,91,1.00,0.95,3,2003
3,"Nicholas Egland, F",SOU,1,36.0,3,3.00,3.33,2,2.00,1,1.50,3.00,4,2003
4,"Marcus Banks, G",UNLV,31,36.0,88,2.84,3.15,119,3.84,85,0.74,1.04,5,2003
5,"Tim Pickett, G",FSU,29,33.1,82,2.83,3.42,62,2.14,86,1.32,0.95,6,2003
6,"Robby Collum, G",WMU,29,32.7,82,2.83,3.46,66,2.28,78,1.24,1.05,7,2003
7,"Marcus Hatten, G",SJU,29,35.2,80,2.76,3.13,110,3.79,73,0.73,1.10,8,2003
8,"Rawle Marshall, G",OAK,28,34.8,77,2.75,3.16,74,2.64,81,1.04,0.95,9,2003
9,"Demetrice Williams, G",USA,28,36.6,76,2.71,2.96,70,2.50,61,1.09,1.25,10,2003
10,"Jay Heard, F",JVST,31,30.1,84,2.71,3.60,78,2.52,91,1.08,0.92,11,2003
11,"Ed O'Neil, G",CHSO,25,27.5,66,2.64,3.84,53,2.12,61,1.25,1.08,12,2003
12,"Marques Green, G",SBON,27,37.1,71,2.63,2.83,98,3.63,79,0.72,0.90,13,2003
13,"Tyronn Mitchell, G",NWST,27,27.9,70,2.59,3.72,73,2.70,67,0.96,1.04,14,2003
14,"Jeff Gloger, G-F",UCI,29,28.3,75,2.59,3.66,66,2.28,62,1.14,1.21,15,2003
15,"Andrew Wisniewski, G",CENT,28,33.9,72,2.57,3.03,101,3.61,79,0.71,0.91,16,2003
16,"Aaron Miles, G",KU,32,30.9,81,2.53,3.27,107,3.34,58,0.76,1.40,17,2003
17,"Errick Craven, G",USC,29,29.5,73,2.52,3.41,78,2.69,88,0.94,0.83,18,2003
18,"Louis Ford, G",HOW,21,29.6,52,2.48,3.34,66,3.14,61,0.79,0.85,19,2003
19,"David Hawkins, G",TEM,30,36.5,74,2.47,2.70,92,3.07,71,0.80,1.04,20,2003
20,"DaShawn Freeman, G",SAC,29,21.7,70,2.41,4.44,102,3.52,95,0.69,0.74,21,2003
21,"Tim Smith, G",ETSU,30,32.2,70,2.33,2.90,121,4.03,67,0.58,1.04,22,2003
22,"Tony Dobbins, G",RICH,28,33.8,65,2.32,2.75,47,1.68,58,1.38,1.12,23,2003
23,"Ashley Robinson, G",MVSU,29,36.1,67,2.31,2.56,45,1.55,58,1.49,1.16,24,2003
24,"Marquis Daniels, F",AUB,31,33.6,71,2.29,2.73,93,3.00,60,0.76,1.18,25,2003
25,"Terry Conerway, G",TXST,28,26.9,64,2.29,3.40,42,1.50,85,1.52,0.75,26,2003
26,"Troy Bell, G",BC,29,38.6,66,2.28,2.36,73,2.52,64,0.90,1.03,27,2003
27,"Keith Triplett, G",TOL,29,33.8,66,2.28,2.69,81,2.79,54,0.81,1.22,28,2003
28,"Chakowby Hicks, G",NORF,29,26.5,66,2.28,3.43,76,2.62,68,0.87,0.97,29,2003
29,"Jameer Nelson, G",JOES,29,34.6,65,2.24,2.59,87,3.00,62,0.75,1.05,30,2003
30,"David Sykes, G",TXST,29,30.7,65,2.24,2.92,85,2.93,71,0.76,0.92,31,2003
31,"Garrett Richardson, G",TNST,27,30.7,60,2.22,2.89,91,3.37,45,0.66,1.33,32,2003
32,"Dwyane Wade, G",MARQ,28,31.9,62,2.21,2.78,91,3.25,63,0.68,0.98,33,2003
