,RK,PLAYER,TEAM,GP,PPG,3PM,3PA,total_3PM,total_3PA,3P%,2PM,2PA,2P%,PPS,FG%
63,64,"Alvin Green, G",CCAR,28,10.6,1.3,3,36,82,0.439,58,128.0,0.453,1.42,0.533
64,65,"Andrew Wisniewski, G",CENT,27,19.6,2.0,4,53,121,0.438,112,232.0,0.483,1.5,0.542
65,66,"David Bunts, G",PAC,30,5.9,1.5,3,45,103,0.437,10,24.0,0.417,1.39,0.61
66,67,"Michael McLaren, G-F",DART,27,9.1,2.1,5,58,133,0.436,25,52.0,0.481,1.34,0.605
67,68,"Patrick Sparks, G",WKU,31,10.4,2.2,5,68,156,0.436,41,83.0,0.494,1.35,0.598
68,69,"James Bowen, G",DSU,27,10.0,1.9,4,51,117,0.436,40,86.0,0.465,1.33,0.574
69,70,"Kareem Washington, G",UMBC,29,10.0,1.2,3,34,78,0.436,67,126.0,0.532,1.42,0.578
70,71,"Quannas White, G",OKLA,31,8.0,1.0,2,30,69,0.435,61,122.0,0.5,1.3,0.555
71,72,"Jerome Rogers, G",UNT,29,9.8,1.9,4,56,129,0.434,30,83.0,0.361,1.34,0.538
72,73,"Ronnie Jones, G",MILW,29,13.3,2.2,5,65,150,0.433,74,166.0,0.446,1.22,0.543
73,74,"Brian Conklin, F",NEB,28,9.1,2.3,5,65,150,0.433,18,58.0,0.31,1.22,0.555
74,75,"Bryan Buchanan, G",IUPU,25,11.8,3.4,8,84,194,0.433,14,33.0,0.424,1.3,0.617
75,76,"Tony Robertson, G",CONN,30,11.0,1.4,3,42,97,0.433,75,140.0,0.536,1.4,0.582
76,77,"Luke Ridnour, G",ORE,31,15.1,2.5,6,77,178,0.433,66,129.0,0.512,1.52,0.591
77,78,"Jannero Pargo, G",ARK,29,16.6,3.3,8,95,220,0.432,70,139.0,0.504,1.34,0.592
78,79,"Quentin Mitchell, G",WIU,28,13.1,2.7,6,75,174,0.431,49,96.0,0.51,1.36,0.598
79,80,"Jason Blair, F",USD,29,14.4,0.9,2,25,58,0.431,107,180.0,0.594,1.76,0.607
80,81,"Adam Boone, G",UNC,28,7.2,1.2,3,34,79,0.43,32,65.0,0.492,1.4,0.576
81,82,"Brody Boyd, G",IOWA,33,3.9,1.0,2,34,79,0.43,10,27.0,0.37,1.23,0.575
82,83,"Ronny Dawn, G",MRSH,30,6.2,1.4,3,43,100,0.43,20,37.0,0.541,1.35,0.617
83,84,"Cary Cochran, G",NEB,28,14.0,3.2,7,89,207,0.43,27,70.0,0.386,1.42,0.579
84,85,"Steve Drabyn, G",BEL,28,8.7,2.1,5,58,135,0.43,7,22.0,0.318,1.55,0.599
85,86,"Blair Wilson, G-F",COLO,29,12.3,2.6,6,76,177,0.429,46,91.0,0.505,1.34,0.597
86,87,"Craig Dawson, G",WAKE,32,11.9,2.8,7,90,210,0.429,46,101.0,0.455,1.23,0.582
87,88,"Field Williams, G",CIN,31,6.4,1.7,4,54,126,0.429,12,30.0,0.4,1.26,0.596
88,89,"Ted Bell, G",UCRV,23,7.7,2.0,5,45,105,0.429,14,36.0,0.389,1.26,0.578
89,90,"Rickey Paulding, G",MIZ,31,11.1,1.4,3,42,98,0.429,79,144.0,0.549,1.42,0.587
90,91,"Marcus Melvin, F",NCST,32,10.1,1.3,3,42,98,0.429,67,121.0,0.554,1.48,0.594
91,92,"Hassan Wilkerson, G",WAG,28,7.6,1.1,3,30,70,0.429,51,116.0,0.44,1.14,0.516
92,93,"Erroll Knight, G",WASH,29,7.1,1.0,2,30,70,0.429,43,94.0,0.457,1.26,0.537
93,94,"Toby Foster, F",CAN,26,10.5,2.5,6,65,152,0.428,31,93.0,0.333,1.11,0.524
94,95,"Dominic Smith, G",HOU,30,15.3,1.6,4,47,110,0.427,84,171.0,0.491,1.63,0.55
95,96,"Gary Buchanan, G",NOVA,29,17.8,3.1,7,91,213,0.427,73,166.0,0.44,1.36,0.553
96,97,"Kenny Crandall, G",ASU,22,6.6,1.6,4,35,82,0.427,13,26.0,0.5,1.35,0.606
97,98,"Andy Toole, G",PENN,27,14.0,2.1,5,58,136,0.426,69,139.0,0.496,1.38,0.567
98,99,"Kevin Mitchell, G",TRGV,30,8.8,1.8,4,55,129,0.426,30,65.0,0.462,1.36,0.58
99,100,"Andy Cavo, G",SIE,33,6.2,1.3,3,43,101,0.426,31,54.0,0.574,1.32,0.616
100,101,"Luke McDonald, G",DRKE,29,17.9,3.1,7,91,214,0.425,71,138.0,0.514,1.47,0.589
101,102,"Brent Cummings, F",MONT,30,10.1,1.5,4,45,106,0.425,56,102.0,0.549,1.46,0.594
102,103,"Chris Assel, G",SHU,28,7.8,2.0,5,56,132,0.424,18,52.0,0.346,1.19,0.554
103,104,"Branduinn Fullove, G",UCSB,29,14.2,1.9,5,56,132,0.424,75,153.0,0.49,1.45,0.558
104,105,"Kyle Korver, F",CREI,27,15.1,2.7,6,72,170,0.424,51,86.0,0.593,1.59,0.621
105,106,"Andy Birley, G",CSU,30,11.8,2.7,6,80,189,0.423,30,75.0,0.4,1.34,0.568
106,107,"Brandon Pardon, G",BGSU,32,10.8,1.7,4,55,130,0.423,48,98.0,0.49,1.51,0.572
107,108,"Yves Kabore, G",WAG,28,8.4,2.0,5,55,130,0.423,12,32.0,0.375,1.44,0.583
108,109,"Travis Hansen, G",BYU,28,15.4,1.2,3,33,78,0.423,101,234.0,0.432,1.38,0.482
109,110,"Drew Diener, G",SLU,31,7.9,1.7,4,52,123,0.423,24,55.0,0.436,1.37,0.573
110,111,"Brian Chase, G",VT,28,11.3,2.5,6,71,168,0.423,32,65.0,0.492,1.36,0.594
111,112,"Luke Recker, G",IOWA,34,17.3,2.6,6,90,213,0.423,106,221.0,0.48,1.35,0.555
112,113,"Randy Burns, G",WICH,30,12.1,1.9,5,57,135,0.422,61,147.0,0.415,1.29,0.52
113,114,"Jacques Vigneault, G",COR,25,4.9,1.4,3,35,83,0.422,2,6.0,0.333,1.38,0.612
114,115,"Lemyan Wilson, F",TROY,28,20.1,2.1,5,59,140,0.421,156,289.0,0.54,1.31,0.57
115,116,"Sharif Chambliss, G",PSU,28,14.6,3.5,8,99,235,0.421,28,86.0,0.326,1.28,0.55
116,117,"Carl Alexander, F",SOU,26,13.9,2.8,7,72,171,0.421,47,91.0,0.516,1.38,0.592
117,118,"Milo Stovall, G",VALP,31,12.0,1.5,4,48,114,0.421,69,149.0,0.463,1.42,0.536
118,119,"Reggie Kohn, G",USF,31,8.7,2.2,5,69,164,0.421,18,32.0,0.563,1.38,0.62
119,120,"James Davis, G",ORE,31,6.6,1.5,3,45,107,0.421,22,33.0,0.667,1.46,0.639
120,1,"Grant Leep, F",WASH,29,7.8,1.3,3,39,74,0.527,41,83.0,0.494,1.43,0.634
121,2,"David Sanders, G",MISS,30,12.7,1.2,2,35,67,0.522,86,150.0,0.573,1.76,0.638
122,3,"Anthony Lever, G",ORE,31,6.5,1.6,3,49,94,0.521,16,48.0,0.333,1.42,0.63
123,4,"Bill Phillips, F",JOES,29,11.8,1.8,3,51,98,0.52,69,124.0,0.556,1.54,0.655
124,5,"Tim Lightfoot, G",UNM,28,5.9,1.4,3,38,74,0.514,17,48.0,0.354,1.35,0.607
125,6,"Devin Montgomery, G",PEPP,28,11.4,1.5,3,41,81,0.506,52,119.0,0.437,1.6,0.568
126,7,"Dante Swanson, G",TLSA,31,11.9,2.3,5,71,141,0.504,51,99.0,0.515,1.54,0.656
127,8,"Marco Quinto, F",EWU,30,6.3,1.5,3,44,88,0.5,16,44.0,0.364,1.44,0.621
128,9,"Joe Campbell, F",MAINE,28,6.5,1.4,3,38,77,0.494,23,46.0,0.5,1.47,0.65
129,10,"Flinder Boyd, G",DART,27,14.4,1.9,4,50,103,0.485,91,180.0,0.506,1.37,0.587
130,11,"Chris Brown, F",UNH,28,13.4,1.1,2,30,62,0.484,74,158.0,0.468,1.7,0.541
131,12,"Matt Jarboe, F",LIP,27,6.7,1.0,2,27,56,0.482,34,67.0,0.507,1.46,0.606
132,13,"Billy Collins, G",BU,30,11.9,1.7,4,52,108,0.481,71,168.0,0.423,1.3,0.54
133,14,"Cain Doliboa, F",WRST,28,16.8,3.7,8,104,217,0.479,39,86.0,0.453,1.55,0.644
134,15,"Cameron Crisp, G",TNTC,30,11.8,2.1,4,63,133,0.474,58,143.0,0.406,1.29,0.553
135,16,"Jake Sullivan, G",ISU,28,16.0,2.1,5,60,127,0.472,75,175.0,0.429,1.48,0.546
136,17,"Travarus Bennett, F",MINN,29,8.7,1.1,2,33,70,0.471,46,87.0,0.529,1.61,0.608
137,18,"Ryan Hogan, G",IOWA,33,5.4,1.0,2,32,68,0.471,24,57.0,0.421,1.42,0.576
138,19,"Jason Erickson, G",MTST,28,10.5,1.6,4,46,98,0.469,50,102.0,0.49,1.47,0.595
139,20,"Darnell Archey, G",BUT,30,6.6,1.5,3,46,98,0.469,21,48.0,0.438,1.36,0.616
140,21,"Kirk Hinrich, G",KU,32,15.5,1.9,4,60,128,0.469,119,202.0,0.589,1.5,0.633
141,22,"Randy Dukes, G",MORG,28,11.6,1.6,3,45,96,0.469,73,189.0,0.386,1.14,0.493
142,23,"Dan Dickau, G",GONZ,31,20.8,3.6,8,113,242,0.467,75,176.0,0.426,1.55,0.585
143,24,"Jordan Kardos, G",UIC,33,12.5,2.1,4,68,146,0.466,64,143.0,0.448,1.43,0.574
144,25,"Jeff Boschee, G",KU,32,13.4,2.9,6,93,200,0.465,53,108.0,0.491,1.39,0.625
145,26,"Jason Kapono, F",UCLA,30,16.7,2.8,6,84,181,0.464,75,162.0,0.463,1.46,0.586
146,27,"Ray Abellard, G",UCF,29,13.0,2.8,6,80,173,0.462,43,101.0,0.426,1.37,0.595
147,28,"R.T. Guinn, C",BAY,29,7.3,1.0,2,30,65,0.462,49,98.0,0.5,1.3,0.577
148,29,"Brian Wilson, G",HC,32,9.7,1.3,3,41,89,0.461,67,162.0,0.414,1.24,0.512
149,30,"John Hamilton, G",WEB,29,12.6,2.6,6,76,165,0.461,44,104.0,0.423,1.35,0.587
150,31,"Eric Channing, G",NMSU,31,16.2,2.6,6,81,176,0.46,83,182.0,0.456,1.4,0.571
151,32,"Salim Stoudamire, G",ARIZ,31,13.1,2.2,5,68,148,0.459,55,122.0,0.451,1.51,0.581
152,33,"Derek Robinson, G",WKU,30,10.6,1.8,4,54,118,0.458,57,122.0,0.467,1.33,0.575
153,34,"Chez Marks, G",MORE,27,8.7,1.4,3,37,81,0.457,49,76.0,0.645,1.5,0.666
154,35,"Mike Ames, G",DEL,30,12.1,2.4,5,73,160,0.456,54,123.0,0.439,1.29,0.578
155,36,"Jason Thornton, F",UCF,29,5.9,1.6,3,46,101,0.455,11,26.0,0.423,1.35,0.63
156,37,"Dane Fife, G",IND,31,8.9,1.8,4,55,121,0.455,42,91.0,0.462,1.31,0.587
157,38,"Nick Moore, G",TOL,29,14.3,3.0,7,87,192,0.453,55,130.0,0.423,1.29,0.576
158,39,"Peter Anderer, G",DAV,30,10.8,2.7,6,81,179,0.453,20,46.0,0.435,1.44,0.629
159,40,"Josh Cooperwood, G",TNST,27,11.9,2.1,5,56,124,0.452,54,113.0,0.478,1.36,0.582
160,41,"Grant Leep, F",WASH,29,7.8,1.3,3,39,74,0.527,41,83.0,0.494,1.43,0.634
161,42,"David Sanders, G",MISS,30,12.7,1.2,2,35,67,0.522,86,150.0,0.573,1.76,0.638
162,43,"Anthony Lever, G",ORE,31,6.5,1.6,3,49,94,0.521,16,48.0,0.333,1.42,0.63
163,44,"Bill Phillips, F",JOES,29,11.8,1.8,3,51,98,0.52,69,124.0,0.556,1.54,0.655
164,45,"Tim Lightfoot, G",UNM,28,5.9,1.4,3,38,74,0.514,17,48.0,0.354,1.35,0.607
165,46,"Devin Montgomery, G",PEPP,28,11.4,1.5,3,41,81,0.506,52,119.0,0.437,1.6,0.568
166,47,"Dante Swanson, G",TLSA,31,11.9,2.3,5,71,141,0.504,51,99.0,0.515,1.54,0.656
167,48,"Marco Quinto, F",EWU,30,6.3,1.5,3,44,88,0.5,16,44.0,0.364,1.44,0.621
168,49,"Joe Campbell, F",MAINE,28,6.5,1.4,3,38,77,0.494,23,46.0,0.5,1.47,0.65
169,50,"Flinder Boyd, G",DART,27,14.4,1.9,4,50,103,0.485,91,180.0,0.506,1.37,0.587
170,51,"Chris Brown, F",UNH,28,13.4,1.1,2,30,62,0.484,74,158.0,0.468,1.7,0.541
171,52,"Matt Jarboe, F",LIP,27,6.7,1.0,2,27,56,0.482,34,67.0,0.507,1.46,0.606
172,53,"Billy Collins, G",BU,30,11.9,1.7,4,52,108,0.481,71,168.0,0.423,1.3,0.54
173,54,"Cain Doliboa, F",WRST,28,16.8,3.7,8,104,217,0.479,39,86.0,0.453,1.55,0.644
174,55,"Cameron Crisp, G",TNTC,30,11.8,2.1,4,63,133,0.474,58,143.0,0.406,1.29,0.553
175,56,"Jake Sullivan, G",ISU,28,16.0,2.1,5,60,127,0.472,75,175.0,0.429,1.48,0.546
176,57,"Travarus Bennett, F",MINN,29,8.7,1.1,2,33,70,0.471,46,87.0,0.529,1.61,0.608
177,58,"Ryan Hogan, G",IOWA,33,5.4,1.0,2,32,68,0.471,24,57.0,0.421,1.42,0.576
178,59,"Jason Erickson, G",MTST,28,10.5,1.6,4,46,98,0.469,50,102.0,0.49,1.47,0.595
179,60,"Darnell Archey, G",BUT,30,6.6,1.5,3,46,98,0.469,21,48.0,0.438,1.36,0.616
180,61,"Kirk Hinrich, G",KU,32,15.5,1.9,4,60,128,0.469,119,202.0,0.589,1.5,0.633
181,62,"Randy Dukes, G",MORG,28,11.6,1.6,3,45,96,0.469,73,189.0,0.386,1.14,0.493
182,63,"Dan Dickau, G",GONZ,31,20.8,3.6,8,113,242,0.467,75,176.0,0.426,1.55,0.585
183,64,"Jordan Kardos, G",UIC,33,12.5,2.1,4,68,146,0.466,64,143.0,0.448,1.43,0.574
184,65,"Jeff Boschee, G",KU,32,13.4,2.9,6,93,200,0.465,53,108.0,0.491,1.39,0.625
185,66,"Jason Kapono, F",UCLA,30,16.7,2.8,6,84,181,0.464,75,162.0,0.463,1.46,0.586
186,67,"Ray Abellard, G",UCF,29,13.0,2.8,6,80,173,0.462,43,101.0,0.426,1.37,0.595
187,68,"R.T. Guinn, C",BAY,29,7.3,1.0,2,30,65,0.462,49,98.0,0.5,1.3,0.577
188,69,"Brian Wilson, G",HC,32,9.7,1.3,3,41,89,0.461,67,162.0,0.414,1.24,0.512
189,70,"John Hamilton, G",WEB,29,12.6,2.6,6,76,165,0.461,44,104.0,0.423,1.35,0.587
190,71,"Eric Channing, G",NMSU,31,16.2,2.6,6,81,176,0.46,83,182.0,0.456,1.4,0.571
191,72,"Salim Stoudamire, G",ARIZ,31,13.1,2.2,5,68,148,0.459,55,122.0,0.451,1.51,0.581
192,73,"Derek Robinson, G",WKU,30,10.6,1.8,4,54,118,0.458,57,122.0,0.467,1.33,0.575
193,74,"Chez Marks, G",MORE,27,8.7,1.4,3,37,81,0.457,49,76.0,0.645,1.5,0.666
194,75,"Mike Ames, G",DEL,30,12.1,2.4,5,73,160,0.456,54,123.0,0.439,1.29,0.578
195,76,"Jason Thornton, F",UCF,29,5.9,1.6,3,46,101,0.455,11,26.0,0.423,1.35,0.63
196,77,"Dane Fife, G",IND,31,8.9,1.8,4,55,121,0.455,42,91.0,0.462,1.31,0.587
197,78,"Nick Moore, G",TOL,29,14.3,3.0,7,87,192,0.453,55,130.0,0.423,1.29,0.576
198,79,"Peter Anderer, G",DAV,30,10.8,2.7,6,81,179,0.453,20,46.0,0.435,1.44,0.629
199,80,"Josh Cooperwood, G",TNST,27,11.9,2.1,5,56,124,0.452,54,113.0,0.478,1.36,0.582
200,81,"Grant Leep, F",WASH,29,7.8,1.3,3,39,74,0.527,41,83.0,0.494,1.43,0.634
201,82,"David Sanders, G",MISS,30,12.7,1.2,2,35,67,0.522,86,150.0,0.573,1.76,0.638
202,83,"Anthony Lever, G",ORE,31,6.5,1.6,3,49,94,0.521,16,48.0,0.333,1.42,0.63
203,84,"Bill Phillips, F",JOES,29,11.8,1.8,3,51,98,0.52,69,124.0,0.556,1.54,0.655
204,85,"Tim Lightfoot, G",UNM,28,5.9,1.4,3,38,74,0.514,17,48.0,0.354,1.35,0.607
205,86,"Devin Montgomery, G",PEPP,28,11.4,1.5,3,41,81,0.506,52,119.0,0.437,1.6,0.568
206,87,"Dante Swanson, G",TLSA,31,11.9,2.3,5,71,141,0.504,51,99.0,0.515,1.54,0.656
207,88,"Marco Quinto, F",EWU,30,6.3,1.5,3,44,88,0.5,16,44.0,0.364,1.44,0.621
208,89,"Joe Campbell, F",MAINE,28,6.5,1.4,3,38,77,0.494,23,46.0,0.5,1.47,0.65
209,90,"Flinder Boyd, G",DART,27,14.4,1.9,4,50,103,0.485,91,180.0,0.506,1.37,0.587
210,91,"Chris Brown, F",UNH,28,13.4,1.1,2,30,62,0.484,74,158.0,0.468,1.7,0.541
211,92,"Matt Jarboe, F",LIP,27,6.7,1.0,2,27,56,0.482,34,67.0,0.507,1.46,0.606
212,93,"Billy Collins, G",BU,30,11.9,1.7,4,52,108,0.481,71,168.0,0.423,1.3,0.54
213,94,"Cain Doliboa, F",WRST,28,16.8,3.7,8,104,217,0.479,39,86.0,0.453,1.55,0.644
214,95,"Cameron Crisp, G",TNTC,30,11.8,2.1,4,63,133,0.474,58,143.0,0.406,1.29,0.553
215,96,"Jake Sullivan, G",ISU,28,16.0,2.1,5,60,127,0.472,75,175.0,0.429,1.48,0.546
216,97,"Travarus Bennett, F",MINN,29,8.7,1.1,2,33,70,0.471,46,87.0,0.529,1.61,0.608
217,98,"Ryan Hogan, G",IOWA,33,5.4,1.0,2,32,68,0.471,24,57.0,0.421,1.42,0.576
218,99,"Jason Erickson, G",MTST,28,10.5,1.6,4,46,98,0.469,50,102.0,0.49,1.47,0.595
219,100,"Darnell Archey, G",BUT,30,6.6,1.5,3,46,98,0.469,21,48.0,0.438,1.36,0.616
220,101,"Kirk Hinrich, G",KU,32,15.5,1.9,4,60,128,0.469,119,202.0,0.589,1.5,0.633
221,102,"Randy Dukes, G",MORG,28,11.6,1.6,3,45,96,0.469,73,189.0,0.386,1.14,0.493
222,103,"Dan Dickau, G",GONZ,31,20.8,3.6,8,113,242,0.467,75,176.0,0.426,1.55,0.585
223,104,"Jordan Kardos, G",UIC,33,12.5,2.1,4,68,146,0.466,64,143.0,0.448,1.43,0.574
224,105,"Jeff Boschee, G",KU,32,13.4,2.9,6,93,200,0.465,53,108.0,0.491,1.39,0.625
225,106,"Jason Kapono, F",UCLA,30,16.7,2.8,6,84,181,0.464,75,162.0,0.463,1.46,0.586
226,107,"Ray Abellard, G",UCF,29,13.0,2.8,6,80,173,0.462,43,101.0,0.426,1.37,0.595
227,108,"R.T. Guinn, C",BAY,29,7.3,1.0,2,30,65,0.462,49,98.0,0.5,1.3,0.577
228,109,"Brian Wilson, G",HC,32,9.7,1.3,3,41,89,0.461,67,162.0,0.414,1.24,0.512
229,110,"John Hamilton, G",WEB,29,12.6,2.6,6,76,165,0.461,44,104.0,0.423,1.35,0.587
230,111,"Eric Channing, G",NMSU,31,16.2,2.6,6,81,176,0.46,83,182.0,0.456,1.4,0.571
231,112,"Salim Stoudamire, G",ARIZ,31,13.1,2.2,5,68,148,0.459,55,122.0,0.451,1.51,0.581
232,113,"Derek Robinson, G",WKU,30,10.6,1.8,4,54,118,0.458,57,122.0,0.467,1.33,0.575
233,114,"Chez Marks, G",MORE,27,8.7,1.4,3,37,81,0.457,49,76.0,0.645,1.5,0.666
234,115,"Mike Ames, G",DEL,30,12.1,2.4,5,73,160,0.456,54,123.0,0.439,1.29,0.578
235,116,"Jason Thornton, F",UCF,29,5.9,1.6,3,46,101,0.455,11,26.0,0.423,1.35,0.63
236,117,"Dane Fife, G",IND,31,8.9,1.8,4,55,121,0.455,42,91.0,0.462,1.31,0.587
237,118,"Nick Moore, G",TOL,29,14.3,3.0,7,87,192,0.453,55,130.0,0.423,1.29,0.576
238,119,"Peter Anderer, G",DAV,30,10.8,2.7,6,81,179,0.453,20,46.0,0.435,1.44,0.629
239,120,"Josh Cooperwood, G",TNST,27,11.9,2.1,5,56,124,0.452,54,113.0,0.478,1.36,0.582
240,1,"Jeff Severinghaus, F",DAV,6,7.3,2.0,2,12,12,1.0,4,8.0,0.5,2.2,1.1
