,RK,PLAYER,TEAM,GP,PPG,FGM,FGA,total_FGM,total_FGA,FG%,2PM,2PA,2P%,PPS,adj_FG%
76,77,"Melvin Ely, C",FRES,27,23.5,8.9,15.8,240,426,0.563,240,425,0.565,1.49,0.563
77,78,"Wesley Wilson, C",GTWN,30,12.2,4.9,8.7,147,261,0.563,147,261,0.563,1.41,0.563
78,79,"Chris Richardson, F",UNLV,30,9.2,3.4,6.1,103,183,0.563,95,159,0.597,1.51,0.585
79,80,"Jason Maxiell, F",CIN,33,8.2,3.4,6.1,113,201,0.562,113,201,0.562,1.35,0.562
80,81,"Robert Brown, F",BUFF,30,9.3,3.3,5.9,100,178,0.562,96,168,0.571,1.57,0.573
81,82,"Jon Paul Kobryn, C",STON,28,8.7,3.6,6.4,100,178,0.562,100,178,0.562,1.37,0.562
82,83,"Erwin Dudley, F",ALA,33,15.3,6.0,10.7,198,353,0.561,197,352,0.56,1.43,0.562
83,84,"Udonis Haslem, C",FLA,30,15.8,5.1,9.1,153,273,0.56,153,272,0.563,1.74,0.56
84,85,"Ryan Gomes, F",PROV,24,13.8,5.5,9.8,132,236,0.559,132,233,0.567,1.41,0.559
85,86,"David Sanders, G",MISS,30,12.7,4.0,7.2,121,217,0.558,86,150,0.573,1.76,0.638
86,87,"Pervis Pasco, F",KSU,29,12.1,4.3,7.8,126,226,0.558,126,225,0.56,1.55,0.558
87,88,"Chris Massie, F",MEM,31,9.3,3.6,6.5,112,201,0.557,112,200,0.56,1.44,0.557
88,89,"Michael Southall, C",ULL,30,13.0,5.0,9.0,151,271,0.557,151,271,0.557,1.44,0.557
89,90,"Trevor Gaines, F",UVM,29,15.5,6.6,11.8,191,343,0.557,188,333,0.565,1.31,0.561
90,91,"Antwan Scott, F",WAKE,32,9.9,3.8,6.9,123,221,0.557,121,216,0.56,1.44,0.561
91,92,"Boakai Lalugba, F",BUCK,29,14.9,6.0,10.7,173,311,0.556,172,308,0.558,1.39,0.558
92,93,"Kevin Owens, C",MONM,27,8.2,3.2,5.7,86,155,0.555,86,153,0.562,1.43,0.555
93,94,"Jason Blair, F",USD,29,14.4,4.6,8.2,132,238,0.555,107,180,0.594,1.76,0.607
94,95,"Dan Gadzuric, C",UCLA,30,11.3,4.8,8.6,143,258,0.554,143,257,0.556,1.32,0.554
95,96,"Marcus Quinn, F",TRGV,30,12.5,4.6,8.3,138,249,0.554,133,234,0.568,1.5,0.564
96,97,"Dusty Rychart, F",MINN,29,13.3,5.3,9.6,154,278,0.554,141,241,0.585,1.38,0.577
97,98,"Will McDonald, C",USF,31,11.9,4.8,8.7,149,269,0.554,149,269,0.554,1.37,0.554
98,99,"Mario Austin, F",MSST,33,16.0,5.9,10.7,196,354,0.554,195,349,0.559,1.49,0.555
99,100,"Brad Bridgewater, F",LSU,32,6.7,3.1,5.5,98,177,0.554,98,177,0.554,1.21,0.554
100,101,"Brandon Brown, F",TULN,29,14.8,5.8,10.4,167,302,0.553,155,258,0.601,1.42,0.573
101,102,"Chris Jackson, C",NMSU,32,10.0,3.8,6.8,121,219,0.553,121,219,0.553,1.46,0.553
102,103,"Kyle Rolston, F",TNST,28,15.9,5.9,10.7,165,299,0.552,115,176,0.653,1.49,0.635
103,104,"Seamus Boxley, F",PRST,28,10.1,3.8,6.9,107,194,0.552,106,191,0.555,1.46,0.554
104,105,"Jerry Holman, F",MINN,29,8.5,3.7,6.7,107,194,0.552,107,194,0.552,1.27,0.552
105,106,"Ugonna Onyekwe, F",PENN,31,17.5,6.9,12.6,215,390,0.551,194,332,0.584,1.39,0.578
106,107,"Arthur Johnson, C",MIZ,32,12.2,5.2,9.5,167,303,0.551,167,303,0.551,1.29,0.551
107,108,"Cuthbert Victor, F",MURR,31,11.3,4.5,8.3,141,256,0.551,132,218,0.606,1.37,0.568
108,109,"Adam Ballinger, F",MSU,26,11.4,4.4,8.0,114,207,0.551,95,157,0.605,1.43,0.597
109,110,"Corey Jackson, F",NEV,29,9.6,3.6,6.5,104,189,0.55,104,188,0.553,1.47,0.55
110,111,"Jonte' Edwards, F",CAMP,27,14.9,5.3,9.6,143,260,0.55,143,259,0.552,1.54,0.55
111,112,"Roderick Riley, C",PV,28,10.6,4.0,7.2,111,202,0.55,111,202,0.55,1.47,0.55
112,113,"Devin Thompson, F",SPU,28,8.1,3.2,5.8,89,162,0.549,89,162,0.549,1.41,0.549
113,114,"Uche Nsonwu-Amadi, F",WYO,29,10.1,3.3,6.0,96,175,0.549,96,173,0.555,1.67,0.549
114,115,"Chris Lynch, F",NWST,31,13.2,4.9,9.0,153,279,0.548,143,239,0.598,1.47,0.566
115,116,"Derrick Murphy, F",AMCC,27,9.4,3.0,5.4,80,146,0.548,80,146,0.548,1.73,0.548
116,117,"Chez Marks, G",MORE,27,8.7,3.2,5.8,86,157,0.548,49,76,0.645,1.5,0.666
117,118,"Chris Christoffersen, C",ORE,31,8.3,3.2,5.8,99,181,0.547,99,181,0.547,1.41,0.547
118,119,"Joel Cornette, F",BUT,30,7.3,3.1,5.7,94,172,0.547,94,172,0.547,1.27,0.547
119,120,"Ray Henderson, F",CLEM,30,8.1,3.3,6.1,100,183,0.546,100,183,0.546,1.33,0.546
120,1,"Adam Mark, F",BEL,26,14.2,5.8,8.1,150,210,0.714,134,179,0.749,1.75,0.752
121,2,"Steveroy Daley, F",SFU,27,9.7,4.2,6.3,114,170,0.671,114,170,0.671,1.54,0.671
122,3,"Mike Hahn, F",PAC,30,9.4,3.6,5.3,107,160,0.669,106,158,0.671,1.76,0.672
123,4,"Carlos Boozer, C",DUKE,32,18.3,6.6,9.8,210,315,0.667,210,314,0.669,1.86,0.667
124,5,"Greg Babcock, C",GB,30,11.7,4.1,6.2,124,187,0.663,124,187,0.663,1.87,0.663
125,6,"Robert Archibald, F",ILL,31,10.7,3.4,5.2,106,162,0.654,106,161,0.658,2.06,0.654
126,7,"David Harrison, C",COLO,27,13.9,5.1,8.1,139,218,0.638,139,218,0.638,1.72,0.638
127,8,"Dan Champagne, F",OAK,30,12.2,5.0,7.9,149,236,0.631,149,234,0.637,1.55,0.631
128,9,"Charlie Davis, F",TLSA,32,8.4,3.2,5.0,101,161,0.627,101,161,0.627,1.66,0.627
129,10,"Damian Reid, F",JOES,29,9.2,3.3,5.2,95,152,0.625,90,143,0.629,1.76,0.641
130,11,"Marquis Estill, F",UK,29,9.0,3.5,5.7,102,164,0.622,98,154,0.636,1.6,0.634
131,12,"Chris Kaman, C",CMU,24,11.8,4.0,6.6,97,158,0.614,97,158,0.614,1.79,0.614
132,13,"T.J. McHugh, F",YALE,30,10.6,3.9,6.3,116,189,0.614,116,188,0.617,1.68,0.614
133,14,"Ivan McFarlin, F",OKST,31,10.8,4.6,7.5,142,232,0.612,142,232,0.612,1.45,0.612
134,15,"David Gruber, C",UNI,29,12.8,5.0,8.1,144,236,0.61,144,236,0.61,1.57,0.61
135,16,"Isaac Jefferson, G",HAMP,31,9.7,3.7,6.2,116,191,0.607,110,168,0.655,1.57,0.623
136,17,"James Singleton, F",MURR,30,12.2,4.7,7.7,140,231,0.606,137,223,0.614,1.59,0.613
137,18,"Rolan Roberts, C",SIU,33,13.8,5.8,9.5,190,315,0.603,190,315,0.603,1.44,0.603
138,19,"Fred Gentry, F",MCNS,29,10.8,4.1,6.9,120,199,0.603,120,199,0.603,1.57,0.603
139,20,"John Allison, C",PUR,31,9.8,3.5,5.8,109,181,0.602,109,180,0.606,1.67,0.602
140,21,"Nick Collison, F",KU,32,15.6,6.5,10.9,209,348,0.601,207,342,0.605,1.43,0.603
141,22,"Jermaine Hall, F",WAG,28,21.1,8.3,13.9,233,388,0.601,229,379,0.604,1.52,0.606
142,23,"Chris Young, F",MICH,29,11.4,4.2,7.1,123,205,0.6,123,204,0.603,1.61,0.6
143,24,"Jared Jensen, F-C",BYU,28,9.1,3.1,5.1,86,144,0.597,86,144,0.597,1.76,0.597
144,25,"Christopher Sockwell, F",SFNY,29,13.0,5.3,9.0,155,260,0.596,154,259,0.595,1.45,0.598
145,26,"Brian McHugh, F",NAU,28,8.3,3.0,5.0,84,141,0.596,84,138,0.609,1.65,0.596
146,27,"Damien Kinloch, F",TNTC,30,16.3,5.6,9.4,167,281,0.594,167,280,0.596,1.74,0.594
147,28,"Justin Rowe, C",MAINE,30,12.6,5.3,8.9,158,266,0.594,158,266,0.594,1.42,0.594
148,29,"James Moore, F",NMSU,32,14.8,5.8,9.7,184,310,0.594,184,306,0.601,1.53,0.594
149,30,"Aaron Jessup, G",GB,30,10.5,4.4,7.4,131,221,0.593,130,220,0.591,1.42,0.595
150,31,"Lewis Arline, F",LAM,29,9.3,3.7,6.2,106,179,0.592,106,179,0.592,1.5,0.592
151,32,"Mike Preston, C",PAC,30,9.5,3.3,5.6,100,169,0.592,98,163,0.601,1.69,0.598
152,33,"Sean Finn, C",DAY,30,7.3,3.0,5.1,91,154,0.591,91,154,0.591,1.42,0.591
153,34,"Kelly Wise, F",MEM,28,12.0,4.9,8.3,136,231,0.589,136,231,0.589,1.45,0.589
154,35,"Louis Truscott, F",HOU,31,13.4,5.1,8.6,157,267,0.588,154,260,0.592,1.56,0.594
155,36,"Solomon Hughes, F",CAL,26,7.7,3.4,5.8,88,150,0.587,88,150,0.587,1.34,0.587
156,37,"Lonnie Jones, C",BALL,30,7.9,3.5,6.0,105,179,0.587,105,179,0.587,1.32,0.587
157,38,"Len Matela, C",BGSU,32,15.4,5.6,9.6,180,307,0.586,180,307,0.586,1.61,0.586
158,39,"Justino Victoriano, F",UTEP,32,8.7,3.7,6.3,119,203,0.586,118,202,0.584,1.36,0.589
159,40,"Vili Morton, F",UCRV,26,10.9,4.5,7.6,116,198,0.586,116,198,0.586,1.43,0.586
160,41,"Adam Mark, F",BEL,26,14.2,5.8,8.1,150,210,0.714,134,179,0.749,1.75,0.752
161,42,"Steveroy Daley, F",SFU,27,9.7,4.2,6.3,114,170,0.671,114,170,0.671,1.54,0.671
162,43,"Mike Hahn, F",PAC,30,9.4,3.6,5.3,107,160,0.669,106,158,0.671,1.76,0.672
163,44,"Carlos Boozer, C",DUKE,32,18.3,6.6,9.8,210,315,0.667,210,314,0.669,1.86,0.667
164,45,"Greg Babcock, C",GB,30,11.7,4.1,6.2,124,187,0.663,124,187,0.663,1.87,0.663
165,46,"Robert Archibald, F",ILL,31,10.7,3.4,5.2,106,162,0.654,106,161,0.658,2.06,0.654
166,47,"David Harrison, C",COLO,27,13.9,5.1,8.1,139,218,0.638,139,218,0.638,1.72,0.638
167,48,"Dan Champagne, F",OAK,30,12.2,5.0,7.9,149,236,0.631,149,234,0.637,1.55,0.631
168,49,"Charlie Davis, F",TLSA,32,8.4,3.2,5.0,101,161,0.627,101,161,0.627,1.66,0.627
169,50,"Damian Reid, F",JOES,29,9.2,3.3,5.2,95,152,0.625,90,143,0.629,1.76,0.641
170,51,"Marquis Estill, F",UK,29,9.0,3.5,5.7,102,164,0.622,98,154,0.636,1.6,0.634
171,52,"Chris Kaman, C",CMU,24,11.8,4.0,6.6,97,158,0.614,97,158,0.614,1.79,0.614
172,53,"T.J. McHugh, F",YALE,30,10.6,3.9,6.3,116,189,0.614,116,188,0.617,1.68,0.614
173,54,"Ivan McFarlin, F",OKST,31,10.8,4.6,7.5,142,232,0.612,142,232,0.612,1.45,0.612
174,55,"David Gruber, C",UNI,29,12.8,5.0,8.1,144,236,0.61,144,236,0.61,1.57,0.61
175,56,"Isaac Jefferson, G",HAMP,31,9.7,3.7,6.2,116,191,0.607,110,168,0.655,1.57,0.623
176,57,"James Singleton, F",MURR,30,12.2,4.7,7.7,140,231,0.606,137,223,0.614,1.59,0.613
177,58,"Rolan Roberts, C",SIU,33,13.8,5.8,9.5,190,315,0.603,190,315,0.603,1.44,0.603
178,59,"Fred Gentry, F",MCNS,29,10.8,4.1,6.9,120,199,0.603,120,199,0.603,1.57,0.603
179,60,"John Allison, C",PUR,31,9.8,3.5,5.8,109,181,0.602,109,180,0.606,1.67,0.602
180,61,"Nick Collison, F",KU,32,15.6,6.5,10.9,209,348,0.601,207,342,0.605,1.43,0.603
181,62,"Jermaine Hall, F",WAG,28,21.1,8.3,13.9,233,388,0.601,229,379,0.604,1.52,0.606
182,63,"Chris Young, F",MICH,29,11.4,4.2,7.1,123,205,0.6,123,204,0.603,1.61,0.6
183,64,"Jared Jensen, F-C",BYU,28,9.1,3.1,5.1,86,144,0.597,86,144,0.597,1.76,0.597
184,65,"Christopher Sockwell, F",SFNY,29,13.0,5.3,9.0,155,260,0.596,154,259,0.595,1.45,0.598
185,66,"Brian McHugh, F",NAU,28,8.3,3.0,5.0,84,141,0.596,84,138,0.609,1.65,0.596
186,67,"Damien Kinloch, F",TNTC,30,16.3,5.6,9.4,167,281,0.594,167,280,0.596,1.74,0.594
187,68,"Justin Rowe, C",MAINE,30,12.6,5.3,8.9,158,266,0.594,158,266,0.594,1.42,0.594
188,69,"James Moore, F",NMSU,32,14.8,5.8,9.7,184,310,0.594,184,306,0.601,1.53,0.594
189,70,"Aaron Jessup, G",GB,30,10.5,4.4,7.4,131,221,0.593,130,220,0.591,1.42,0.595
190,71,"Lewis Arline, F",LAM,29,9.3,3.7,6.2,106,179,0.592,106,179,0.592,1.5,0.592
191,72,"Mike Preston, C",PAC,30,9.5,3.3,5.6,100,169,0.592,98,163,0.601,1.69,0.598
192,73,"Sean Finn, C",DAY,30,7.3,3.0,5.1,91,154,0.591,91,154,0.591,1.42,0.591
193,74,"Kelly Wise, F",MEM,28,12.0,4.9,8.3,136,231,0.589,136,231,0.589,1.45,0.589
194,75,"Louis Truscott, F",HOU,31,13.4,5.1,8.6,157,267,0.588,154,260,0.592,1.56,0.594
195,76,"Solomon Hughes, F",CAL,26,7.7,3.4,5.8,88,150,0.587,88,150,0.587,1.34,0.587
196,77,"Lonnie Jones, C",BALL,30,7.9,3.5,6.0,105,179,0.587,105,179,0.587,1.32,0.587
197,78,"Len Matela, C",BGSU,32,15.4,5.6,9.6,180,307,0.586,180,307,0.586,1.61,0.586
198,79,"Justino Victoriano, F",UTEP,32,8.7,3.7,6.3,119,203,0.586,118,202,0.584,1.36,0.589
199,80,"Vili Morton, F",UCRV,26,10.9,4.5,7.6,116,198,0.586,116,198,0.586,1.43,0.586
200,81,"Adam Mark, F",BEL,26,14.2,5.8,8.1,150,210,0.714,134,179,0.749,1.75,0.752
201,82,"Steveroy Daley, F",SFU,27,9.7,4.2,6.3,114,170,0.671,114,170,0.671,1.54,0.671
202,83,"Mike Hahn, F",PAC,30,9.4,3.6,5.3,107,160,0.669,106,158,0.671,1.76,0.672
203,84,"Carlos Boozer, C",DUKE,32,18.3,6.6,9.8,210,315,0.667,210,314,0.669,1.86,0.667
204,85,"Greg Babcock, C",GB,30,11.7,4.1,6.2,124,187,0.663,124,187,0.663,1.87,0.663
205,86,"Robert Archibald, F",ILL,31,10.7,3.4,5.2,106,162,0.654,106,161,0.658,2.06,0.654
206,87,"David Harrison, C",COLO,27,13.9,5.1,8.1,139,218,0.638,139,218,0.638,1.72,0.638
207,88,"Dan Champagne, F",OAK,30,12.2,5.0,7.9,149,236,0.631,149,234,0.637,1.55,0.631
208,89,"Charlie Davis, F",TLSA,32,8.4,3.2,5.0,101,161,0.627,101,161,0.627,1.66,0.627
209,90,"Damian Reid, F",JOES,29,9.2,3.3,5.2,95,152,0.625,90,143,0.629,1.76,0.641
210,91,"Marquis Estill, F",UK,29,9.0,3.5,5.7,102,164,0.622,98,154,0.636,1.6,0.634
211,92,"Chris Kaman, C",CMU,24,11.8,4.0,6.6,97,158,0.614,97,158,0.614,1.79,0.614
212,93,"T.J. McHugh, F",YALE,30,10.6,3.9,6.3,116,189,0.614,116,188,0.617,1.68,0.614
213,94,"Ivan McFarlin, F",OKST,31,10.8,4.6,7.5,142,232,0.612,142,232,0.612,1.45,0.612
214,95,"David Gruber, C",UNI,29,12.8,5.0,8.1,144,236,0.61,144,236,0.61,1.57,0.61
215,96,"Isaac Jefferson, G",HAMP,31,9.7,3.7,6.2,116,191,0.607,110,168,0.655,1.57,0.623
216,97,"James Singleton, F",MURR,30,12.2,4.7,7.7,140,231,0.606,137,223,0.614,1.59,0.613
217,98,"Rolan Roberts, C",SIU,33,13.8,5.8,9.5,190,315,0.603,190,315,0.603,1.44,0.603
218,99,"Fred Gentry, F",MCNS,29,10.8,4.1,6.9,120,199,0.603,120,199,0.603,1.57,0.603
219,100,"John Allison, C",PUR,31,9.8,3.5,5.8,109,181,0.602,109,180,0.606,1.67,0.602
220,101,"Nick Collison, F",KU,32,15.6,6.5,10.9,209,348,0.601,207,342,0.605,1.43,0.603
221,102,"Jermaine Hall, F",WAG,28,21.1,8.3,13.9,233,388,0.601,229,379,0.604,1.52,0.606
222,103,"Chris Young, F",MICH,29,11.4,4.2,7.1,123,205,0.6,123,204,0.603,1.61,0.6
223,104,"Jared Jensen, F-C",BYU,28,9.1,3.1,5.1,86,144,0.597,86,144,0.597,1.76,0.597
224,105,"Christopher Sockwell, F",SFNY,29,13.0,5.3,9.0,155,260,0.596,154,259,0.595,1.45,0.598
225,106,"Brian McHugh, F",NAU,28,8.3,3.0,5.0,84,141,0.596,84,138,0.609,1.65,0.596
226,107,"Damien Kinloch, F",TNTC,30,16.3,5.6,9.4,167,281,0.594,167,280,0.596,1.74,0.594
227,108,"Justin Rowe, C",MAINE,30,12.6,5.3,8.9,158,266,0.594,158,266,0.594,1.42,0.594
228,109,"James Moore, F",NMSU,32,14.8,5.8,9.7,184,310,0.594,184,306,0.601,1.53,0.594
229,110,"Aaron Jessup, G",GB,30,10.5,4.4,7.4,131,221,0.593,130,220,0.591,1.42,0.595
230,111,"Lewis Arline, F",LAM,29,9.3,3.7,6.2,106,179,0.592,106,179,0.592,1.5,0.592
231,112,"Mike Preston, C",PAC,30,9.5,3.3,5.6,100,169,0.592,98,163,0.601,1.69,0.598
232,113,"Sean Finn, C",DAY,30,7.3,3.0,5.1,91,154,0.591,91,154,0.591,1.42,0.591
233,114,"Kelly Wise, F",MEM,28,12.0,4.9,8.3,136,231,0.589,136,231,0.589,1.45,0.589
234,115,"Louis Truscott, F",HOU,31,13.4,5.1,8.6,157,267,0.588,154,260,0.592,1.56,0.594
235,116,"Solomon Hughes, F",CAL,26,7.7,3.4,5.8,88,150,0.587,88,150,0.587,1.34,0.587
236,117,"Lonnie Jones, C",BALL,30,7.9,3.5,6.0,105,179,0.587,105,179,0.587,1.32,0.587
237,118,"Len Matela, C",BGSU,32,15.4,5.6,9.6,180,307,0.586,180,307,0.586,1.61,0.586
238,119,"Justino Victoriano, F",UTEP,32,8.7,3.7,6.3,119,203,0.586,118,202,0.584,1.36,0.589
239,120,"Vili Morton, F",UCRV,26,10.9,4.5,7.6,116,198,0.586,116,198,0.586,1.43,0.586
240,1,"Chevon Troutman, F",PITT,28,11.0,4.4,6.1,123,171,0.719,122,165,0.739,1.8,0.722
